"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
85727,75361,74550.5,32293.2,27603,76671.7,19145,21268.9,0.356
105869,92150,75292.8,42827.8,37372,75103.4,14665.9,23131.6,0.363
93750.8,85816,71595.6,44023.5,37914,76096.5,15338.9,32966.9,0.363
134590,118988,74129.2,40881.5,37534,71381,20961.1,34645.1,0.364
112747,92625,79773.4,83543.4,68599,79813.2,27887.4,67792.1,0.365
128274,113648,73970.1,65382.6,58146,73692.4,27732.8,44350.9,0.365
110830,100570,72222,27926.5,26163,69953.3,7599.43,21729.1,0.365
94672.6,85433,72623.7,37354.7,33839,72344.8,17065.2,41164.9,0.365
98626.8,89748,72019.5,33159.4,30966,70178.2,10194.3,29497.3,0.366
146590,130260,73751.9,63298.2,55750,74409.2,7886.13,15667,0.367
149299,133967,73036.3,50008.9,45104,72662.9,14702.5,23717.1,0.367
95009.8,81896,76030.1,38965.4,35066,72823.6,17480.7,27663.4,0.369
88480.1,77643,74683.2,33542.5,30772,71436.4,5140.86,14313.2,0.37
104644,89929,76259.3,53621.8,47915,73341.5,28224,41322.4,0.373
126437,111306,74445,38840.3,31349,81196.8,20040.3,31166,0.378
156889,136504,75322.9,59112.8,50618,76534.4,4776.61,8649.54,0.38
115176,99336,75986.4,82626,69226,78221.7,30683.5,54167.1,0.383
129157,114193,74123.9,65991.3,59907,72192,18891.2,39386.6,0.387
97250,83921,75944.9,51833.5,45427,74778.4,17163,34679.1,0.393
121077,110205,72001.1,49723.2,44751,72817.6,17597.3,29484.3,0.395
99457.1,87738,74289.6,37463.2,35079,69990.3,10218.3,24795.9,0.398
145668,128893,74065.2,67421,57663,76626.3,31568,48083.2,0.401
128258,114636,73323.6,62886.9,53486,77054.9,15891.2,33455.9,0.402
122787,99067,81227.8,57959.9,48852,77754.5,22975.9,50212.9,0.403
168157,143301,76903.5,62563.1,52499,78099.3,12827.2,21869.2,0.406
129318,114305,74143.3,49925.8,43891,74546.8,22264.8,35680.4,0.41
111134,98256,74125.6,40618.3,37766,70485.7,14679.5,42738.8,0.414
116378,104013,73327,42034.4,37243,73967.5,16387.5,28924,0.414
127708,116364,71924.9,45007.7,41466,71133.5,22326.9,34264.9,0.421
121197,97778,81232.7,49837.9,43532,75029.3,21525.5,42135.8,0.425
124903,110913,73802.6,45159.9,41955,70542.3,21611.5,30721.4,0.426
123435,110929,72924.5,42346.5,38471,72138,13811.4,26156.6,0.432
109767,100727,71417.7,36534.5,33837,70760.6,6004.25,14518.6,0.437
124032,112663,72149.4,42017.5,38233,72023.1,15145.8,27285.8,0.437
98147.9,87738,73311.7,42832,39169,71664.8,13642.2,24317.4,0.438
108093,95292,74339.5,40395.6,37178,71207.8,14098.6,31737.6,0.438
93052.9,81566,74765.4,30913.8,27927,72545,9380.73,19489.7,0.439
138032,126868,71303.1,55389,47922,75747.6,18743.6,49541.3,0.439
163916,145105,74032.1,82484.5,71411,75698.5,19994.3,48644.3,0.44
91559.3,81645,73494.2,40090.5,35691,73614.4,27098.8,42417.7,0.44
134743,114262,77283.2,60574.1,55144,71989.4,19059,72807.7,0.445
94269.2,76116,81165.9,51387.4,44998,74841.7,15105.8,35496.9,0.446
124525,113605,71835.6,37190.6,34515,70616.4,13274.7,30027.2,0.452
128463,117174,71849.9,73881.6,63848,75834.9,14184.1,37954.6,0.453
163773,140204,76553.1,58139.5,52586,72457.1,14144.7,33635.9,0.454
144879,123972,76588.1,67531.5,57506,76961.4,27981.4,49038.4,0.455
149713,131408,74665.1,65949.9,57542,75112,27061.2,64425.2,0.455
132850,118415,73525.1,47675.9,41504,75281.5,34189.2,64363.5,0.456
138704,124056,73274.4,44893.5,41322,71200.3,20414.4,36817.5,0.457
136813,122252,73341.9,46323.2,37262,81472.7,16146.8,33455,0.459
131034,117797,72900.2,58387.6,52007,73576.5,15619.5,31037.2,0.459
105751,93368,74227.9,38794.3,35498,71621.5,14702.5,31818.5,0.459
118893,103993,74925.9,58929.5,50927,75834.2,26416.3,52364.4,0.459
123778,109520,74067.7,39943.9,35926,72865.4,12698,16798,0.46
99820.9,91897,71186.9,39893.6,35823,72982.9,14225.5,28706.5,0.461
106394,95385,73099.8,39252.1,35451,72562.8,24978.2,41713.9,0.461
122369,111923,71652.7,75888.1,64029,77674.2,41430.5,66355.8,0.464
154328,135412,74691,59712.6,54550,71738.3,18911.4,32292.7,0.469
95830,83411,75293.6,42486.6,38697,71953.9,13410,30109.8,0.471
81903.9,72733,73799.5,29928.2,28511,68793.6,13703.8,20266.7,0.471
146547,124101,77389.6,79066.2,64915,79822.6,21668.9,51647.6,0.472
99367.4,88234,73805.3,46844,42433,72348.5,14664,27311.9,0.476
148116,131184,73994.9,72353.7,61218,77457.1,37935.6,60076.1,0.482
138670,122092,74434.5,49562.9,41262,78720.3,21815.5,29731.4,0.484
110946,102248,71111,42048.1,38490,71594.3,22811,46687.7,0.486
128551,110793,76040.3,45704.7,40587,73799.5,14204.8,33656.8,0.487
126064,114267,72301.9,56427.7,51796,71396.4,20725.6,36385.1,0.489
149701,125661,78073.4,64038.4,57263,73290.3,26433.3,57853.3,0.493
89031.2,78411,74412.3,47925.9,41346,75965.5,13674.7,43014.5,0.5
168262,144328,76403.9,48124.7,41902,75268.5,9792.92,23615.3,0.504
93512.5,82235,74523.4,60317,51188,77223.8,22702.4,42048,0.504
111559,100404,72817,39022.2,31154,82087.7,22867.8,37897.2,0.505
91162.3,83498,71551.6,58846.8,53765,71730.4,18067.3,31440.9,0.506
124970,110485,74127.8,42331,37767,73455.8,16052.4,37522.2,0.506
123186,109570,73680.1,42514.3,38728,71943.3,20521.1,26615.9,0.508
139656,121617,75256.5,49753.3,45443,71752.1,25254,45813.3,0.511
108606,98344,72374.6,42332.4,38234,72561,17936.1,30372.6,0.513
138477,122057,74352.4,42880.9,39659,70860.2,21093.6,34938.3,0.513
143416,121997,77042.2,51145.4,45359,73896.4,11609.5,19855.1,0.513
126088,113464,72827.4,51144.9,44158,75905.5,16329.7,35873.6,0.514
139985,125609,73036.6,49415.3,44527,72730.8,20319.5,45481,0.516
92060.3,81781,73773.4,37248.9,34823,70101.5,8050.63,21679.5,0.52
90899.2,79028,75380.5,46650.8,39746,76921.1,17962,52263.5,0.522
120331,101168,77949.9,48711.7,42134,75767.1,14379.7,24957.7,0.524
84483.1,75894,72952.9,42854.1,40300,69689.5,16755.5,36596.6,0.524
138609,120604,75319.9,48047.6,41118,76580.8,12734.2,29073.7,0.526
132952,117629,74073.3,58099.5,52619,72361.9,13205.6,19752.5,0.527
131538,116278,74137,64150.3,56344,74615.8,14742,33239.2,0.527
128774,112153,75248.5,51951,42623,79878.5,26797.1,39738.1,0.527
128716,114304,73799,63051.9,50294,82160.3,16324.5,21148,0.544
109354,101737,70442.3,33662.8,31135,70856.8,13374.8,35388.1,0.546
97624.9,84236,75952.6,35681.5,33146,70549.1,13511.6,28296.8,0.547
162306,126849,83854.9,69278.9,54803,82847,25973.1,38486.2,0.547
173133,151519,74884.8,56208.2,48768,75534.4,22764.9,46772.9,0.568
110293,100331,72043.3,47131.1,41092,75167.6,33208.3,41972.3,0.569
150607,126548,77995.4,67431.8,60438,73119.8,61456.7,103311,0.573
112298,100964,72892.9,37332.1,33650,72707.2,9539.12,12366.2,0.573
147194,124632,77400.2,50675.9,46090,72056.7,18591.3,26120.9,0.574
88795.6,76277,76291.8,39701.4,35683,72916.2,7492.27,14429,0.577
98209.1,85396,75369.2,75220.7,63282,77899.9,33673.1,73038.2,0.578
98882.1,82740,78321.7,77695.2,64402,79063.3,29735,30148.1,0.578
100406,86541,76035.4,35971.4,32972,71497.8,17024.3,25976.5,0.581
127659,114813,72868.4,51129.4,44267,75695.6,19771,42926.7,0.583
102810,89620,75181.4,35379.2,30402,76265.2,16388.4,30040.2,0.583
92053.8,80405,75030.6,35304.1,32707,70739.8,16618.7,23148.1,0.584
112677,101669,72631.8,42640.8,39363,70993.2,18621.4,31401.8,0.586
96675.9,87511,72399.5,58848.7,51661,74654.2,25246.1,31807.2,0.588
112514,99216,74320,34624.9,31474,72096.9,5738.23,12551.5,0.59
122911,107756,74752.9,37804.9,35018,70751.7,12639.2,16261.2,0.591
130101,113418,75175.8,63459.9,51169,81277.8,22599,40958.7,0.592
