"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
122052,100792,79359.6,85430.5,72313,77424.1,34082.5,400.2,0.39
84757.3,75741,73337.5,61042.2,51419,77801.2,20593.5,249.69,0.39
101325,85893,77310.3,38835.6,31795,80048.2,26166.3,162.69,0.394
90416.7,77047,76908.2,52418.6,46429,73990.5,19192.9,99.18,0.397
165206,144900,74720.2,78895.1,63734,81125.8,89102.6,943.08,0.397
91662.4,84188,71354.4,48034.5,44122,71347.3,19733.9,157.47,0.4
95041.1,86344,72137.2,38803.7,37386,68021.1,8546.95,163.56,0.401
122647,110909,72472,50224.2,45487,72361.2,20048.3,18.27,0.402
99941.4,89078,73528.4,48914.8,44744,71644.9,12628.9,331.47,0.404
119995,106373,73928.5,51368.2,46163,72925.6,25803.9,225.33,0.405
112854,102636,72060.6,33420.3,31578,69359.4,16068.8,168.78,0.408
136293,120802,73940,42951.9,38856,72444.3,25571.8,403.68,0.409
107532,96009,73401.6,34981.6,32251,71084.8,8895.69,338.43,0.409
127690,117685,71107.6,74201.7,64551,75334,15980.9,7.83,0.413
113952,103252,72327.3,51216.8,45090,74441,24943.4,127.89,0.414
123043,100051,80596.4,62110.5,54585,74571.3,13198.1,334.95,0.415
85075.2,76896,72506.8,43331.6,39906,71161.8,12607.8,242.73,0.42
129860,116369,73133.7,42406.7,38947,71357.6,2771.12,80.91,0.422
103961,88863,76670.6,54042.9,48352,73249.5,34187.8,361.92,0.427
88293.3,75682,76456.6,49625.4,42410,76686,6460.15,10.44,0.429
124570,112644,72474.4,51516.2,45186,74717.1,32309.2,906.54,0.433
102745,86809,77566.6,50709.7,45179,73558.8,34927.1,303.63,0.433
161327,139476,75803,68603.5,60982,73726.7,28924.7,689.04,0.436
105410,95835,72084,43460.9,40884,69666.7,11501.4,159.21,0.439
130029,107860,79005.7,64651.3,50886,83264.3,30082.8,54.81,0.439
81256.7,72008,73953.4,50966.3,44670,74773.4,28672.3,317.55,0.445
156179,132962,76979.4,86649.7,73208,77569,12578.6,207.06,0.449
98425.3,83388,77354,52029.5,44846,76033.6,30967.4,227.07,0.449
134243,121659,72314.9,39695.7,36772,70746.8,38002.8,916.98,0.457
90007.7,76893,76713.7,55155.9,47227,76538.8,14409.3,470.67,0.458
143790,136292,69141.2,66947.7,59318,73965.5,38290.9,1025.73,0.458
124368,110998,73430.2,42608.3,38808,71953.7,22755.5,187.92,0.46
132637,120254,72284.7,46887.2,42636,72070.5,30399.1,427.17,0.46
110857,101740,71408.9,27517.1,25950,69493.6,3579.99,75.69,0.462
128038,110672,75819.4,51712.2,46038,73613.4,12544.3,286.23,0.466
97399,86620,73691.3,58824.3,49386,78060.7,63616.4,1635.6,0.466
147730,124137,77991.5,85114.6,71787,77703.1,50106.2,998.76,0.469
102842,86366,78038.1,42762.9,36597,76577.7,9025.41,255.78,0.469
84422,79800,69331.8,33299,30074,72563.9,14852.5,352.35,0.473
129502,115768,73311,44334.6,37290,77916.7,13770.5,315.81,0.473
164441,142241,75764.3,80323.5,68743,76576.2,63279.4,956.13,0.473
127046,115116,72327.8,48192.4,42762,73858.5,30147.7,252.3,0.474
118220,94106,82329.5,64232.1,53349,78905.2,27233.2,699.48,0.476
111162,97261,74902.6,47544.7,43099,72296.1,4970.72,54.81,0.479
109841,98643,72975.8,41814.5,38153,71825.4,15934.4,220.11,0.479
99532,91066,71628.6,40356.1,37599,70341.7,33586.7,122.67,0.482
163023,142325,75066.8,65355.4,57539,74438.7,18352.6,371.49,0.482
91908.9,82376,73120.1,32059.2,29578,71033.5,13538.8,281.01,0.483
108279,94264,75279.7,63529.4,53114,78387.3,31479.2,260.13,0.485
129800,117009,72700.2,44565.4,39587,73777.7,29879.8,232.29,0.489
122062,110701,72262,41063.4,38395,70090.7,18969.7,142.68,0.492
84575.6,72389,76568.9,42885.6,38999,72067.3,14737.3,34.8,0.494
106869,96317,72715.5,27006.7,25903,68328.3,9566.38,47.85,0.494
136021,121850,73157.5,76745.4,68117,73837.4,34111.7,214.89,0.495
154848,132460,76612.9,93241,83914,72820.3,21550.4,244.47,0.499
141922,123876,75083.1,81824.6,71970,74509.7,28869.3,206.19,0.499
140714,122692,75162.7,51854.6,45778,74235.3,10551,103.53,0.501
112399,101736,72405,37205.2,33946,71828.2,22204.7,199.23,0.501
104368,85173,80305.5,36599.4,33699,71176.5,19710.4,221.85,0.502
145070,132364,71827.1,51683.6,46766,72427.3,27031.6,763.86,0.503
123499,104904,77152.7,61053.5,52814,75760.2,20406.9,852.6,0.504
134389,120570,73047.3,59110,50453,76781.1,3686.68,234.9,0.506
121592,107892,73857.6,58086.4,47970,79356.8,25779.5,287.97,0.507
146604,127403,75413.1,81639.9,69650,76817.7,47893.5,183.57,0.507
137165,118988,75547.6,44552.2,38986,74892.9,17466.6,244.47,0.507
93238.3,82363,74189.5,63787,55938,74731.7,25289.8,205.32,0.51
100470,88433,74456.7,60092.3,51363,76674.1,41725.2,390.63,0.511
108098,95816,73936.7,40281.8,37594,70221.6,22386.6,536.79,0.512
136521,123056,72707.1,64810.6,58838,72188.6,16545.9,222.72,0.512
136429,121320,73697.8,47577.6,42014,74214.5,30845.2,560.28,0.514
133398,107861,81052,71476.7,62595,74835,25071.2,853.47,0.514
94818.9,88069,70558.9,54476.8,49559,72039.2,37435.5,220.98,0.516
119497,109244,71686.8,43515.4,39678,71874.2,33964.6,419.34,0.518
130053,115952,73505.6,48506.4,43266,73473.7,31920.1,670.77,0.518
117976,100718,76765.7,65844.2,56709,76093.1,26806,285.36,0.52
108212,99317,71405.7,45634.6,40599,73664.7,26925.8,163.56,0.524
81085.6,74848,70997.5,29360,27862,69059.4,6198.83,42.63,0.526
125788,107616,76602.3,53731.8,45810,76869,27871.5,207.93,0.526
91147.2,76697,77883.4,40849.1,36335,73677.9,20811.1,46.98,0.528
127530,112600,74225.6,45422.2,41806,71204.9,55782.4,1052.7,0.529
98538.9,88051,73342.1,48518.1,43993,72277,10359.7,108.75,0.533
86492.4,79124,71639,26255.6,23910,71965.2,23720.9,132.24,0.534
91029.4,79820,74739.5,45956.6,41738,72159.9,13475.4,113.97,0.535
143518,120449,78087.6,96936.6,78855,80563.5,78014.8,2083.65,0.536
118049,105656,73223.3,45629.9,41278,72445.5,46435.5,302.76,0.542
112943,101947,72604.9,49062.4,45492,70679.5,39651.1,324.51,0.549
116325,96390,79089.8,45557.6,38012,78545.2,17054.4,194.88,0.55
95580.2,86254,72622.1,37994.8,33397,74558.4,16705.2,42.63,0.55
96073.3,81531,77225.4,47865.7,37636,83349.2,12541,84.39,0.551
116898,107141,71504.4,42718.3,40583,68984.2,18739.8,155.73,0.553
136949,125316,71619.6,48198,45042,70128,27829.2,154.86,0.556
140656,116353,79224.5,50825.8,45459,73273,18181.9,288.84,0.56
137021,121523,73894,49266.3,44125,73172.1,21763.8,368.01,0.561
