"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
78683.8,54741,94200.3,49700,34737,93765.7,17048.5,0.307
96816.2,71949,88186.8,52573.9,41517,82989.6,21746,0.314
85566.2,59303,94559.6,79461.8,59023,88230.1,27542.7,0.314
56989.4,38353,97381.2,65577.6,47345,90774,18505.1,0.315
93610.8,63058,97289.4,67686.9,49066,90407.4,24450.8,0.316
98357.8,75369,85525.5,87587.2,70900,80960.7,28437,0.319
122144,86457,92587.2,98753.5,77492,83517.1,10156.8,0.32
77347.4,43001,117882,86310.7,60212,93942.4,15235.2,0.32
88251.8,56877,101687,84332.5,57792,95632.9,24448.8,0.322
115178,77689,97160.9,99564.2,68852,94769.1,21309.3,0.323
95256,61917,100824,71835.2,49152,95780.3,28497,0.325
97765.2,69025,92823.5,82909,62969,86288.9,16100.5,0.325
72273.6,47357,100017,74965,52560,93472.4,28294.1,0.325
70020.7,47065,97500.9,59406.9,39892,97595.8,20119.7,0.326
72884.9,47965,99584.8,74601.4,50624,96576.3,22834.2,0.327
71535.6,47154,99422.3,82960.8,64330,84516.1,21344.5,0.328
72298.8,45348,104485,54510.7,36296,98424.4,10677.1,0.328
68533.2,44119,101802,61772.2,41243,98157.4,16441.3,0.329
117384,73657,104442,69817,46285,98855.4,20248.1,0.33
89191.4,68237,85661,47725.9,38985,80230,19493.9,0.33
94736.2,71173,87232.9,54571.4,44125,81051.4,30084,0.331
97692.5,67280,95160.1,49666.9,35032,92914.2,22052.4,0.331
69701.8,47392,96387,80739,55436,95449,27811.8,0.332
115348,79310,95315.5,66211,47610,91140.6,19716.1,0.332
80136,51699,101584,65856.4,44831,96271.8,22220.8,0.334
105347,74117,93150.1,46508.8,35477,85914.8,12649.1,0.334
157524,110117,93750.1,105923,77045,90099.9,16384.1,0.334
83728.8,53928,101751,71457.8,48161,97237.5,28236.2,0.337
127228,87557,95229.8,84195.9,59121,93331.6,13058.2,0.338
71346.2,52650,88808.1,69394,54329,83708.6,13622,0.338
68963.8,45335,99693.6,57969,42383,89636.3,15596.8,0.34
123489,85016,95193.8,94026.3,70197,87783.1,30549.1,0.341
69194.2,43928,103230,68605.3,46401,96897,18527.2,0.341
111016,70165,103692,75803.4,54885,90513.8,11952.9,0.342
142220,91716,101624,88745,62280,93384.6,20161.8,0.342
103709,69525,97758.5,46982.1,32073,96000.4,29776.3,0.342
106772,76537,91424.9,47694.9,35220,88748.8,18077.3,0.343
72789.1,45261,105396,61337.6,42272,95094.1,16114.3,0.343
78559.2,52378,98294.2,60317,42586,92822.5,12570.4,0.343
68316.5,47847,93573,81514.5,61319,87120.4,21727.4,0.344
92053.4,60921,99026.8,77215.8,55981,90395.2,27270.9,0.345
72831.6,51440,92789.5,69912.2,51884,88307.9,24308,0.347
91495.4,68260,87844.2,50423.1,40680,81232.3,10595,0.348
90657.4,62765,94659.8,67859.4,49472,89894,19380,0.349
94170.2,61531,100300,59489.7,38799,100485,24570.2,0.35
87904.1,61932,93019.5,48772,33660,94959,26431.1,0.352
