directory,row,shortname,antigen,replicate
flow_data/omi32-germline_ba4_r1,E,Omi32,BA4,1
flow_data/omi32-germline_ba4_r2,E,Omi32,BA4,2
flow_data/omi32-germline_ba4_r1,A,Germline,BA4,1
flow_data/omi32-germline_ba4_r2,A,Germline,BA4,2
