step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba1,ba4,wuhan,ba4,ba4,wuhan,wuhan,ba4,wuhan,ba4,4074024.0,2504809.0,1045932.0,3072961.0,110906.0,131500.0,1514999.0,762697.0,1607893.0,2150024.0
wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,690133.0,1803890.0,1174077.0,617154.0,902285.0,411601.0,1519439.0,1124779.0,1068087.0,562578.0
ba4,wuhan,wuhan,ba4,ba1,ba4,ba4,wuhan,ba1,ba4,ba4,wuhan,ba4,5996459.0,1914813.0,1542822.0,981977.0,57102.0,198841.0,895018.0,1501811.0,3311632.0,1692709.0
ba1,ba4,ba1,wuhan,wuhan,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,3826792.0,4300990.0,1854928.0,2807970.0,3881025.0,1905235.0,2775768.0,1244238.0,2602665.0,1519849.0
ba1,ba4,ba4,ba1,ba1,wuhan,ba1,wuhan,ba4,ba4,ba1,ba4,ba1,4281928.0,4694369.0,2370230.0,4827299.0,4628101.0,2549164.0,3683077.0,1840198.0,3257795.0,1904410.0
ba1,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,8562622.0,6193005.0,818700.0,3627099.0,7081421.0,2781091.0,3057389.0,2016323.0,1899070.0,2418775.0
ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba4,ba4,wuhan,1782146.0,1715696.0,2602063.0,863628.0,1836407.0,657261.0,1624461.0,953225.0,2794042.0,494992.0
ba4,ba4,ba1,ba1,ba1,ba1,ba4,ba4,ba1,wuhan,wuhan,ba1,ba1,4734901.0,4361631.0,1366214.0,1233244.0,5216856.0,2175348.0,1665175.0,2208677.0,4059181.0,2313450.0
ba1,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba1,5312927.0,6336505.0,1520648.0,3790879.0,5028668.0,3471944.0,4481931.0,1722749.0,2674173.0,2460725.0
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,2857007.0,3812361.0,5619750.0,2721946.0,3937732.0,1272969.0,5198238.0,1005492.0,3059045.0,1373676.0
ba1,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba1,ba1,5865539.0,6266460.0,1250352.0,3234162.0,6457667.0,2554376.0,2879228.0,2051580.0,2429392.0,2533651.0
ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba4,6689200.0,1743234.0,2843468.0,2187692.0,225545.0,462663.0,1768529.0,2511995.0,3125577.0,4248970.0
wuhan,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,ba1,wuhan,ba1,ba4,wuhan,2296178.0,4118808.0,4450407.0,3574396.0,2307960.0,1413160.0,5898301.0,3444964.0,3002269.0,1512509.0
wuhan,ba1,ba4,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,ba4,ba4,ba4,1243008.0,1368779.0,658427.0,1952922.0,130886.0,94329.0,1341918.0,2105333.0,632940.0,1635511.0
wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba1,2192864.0,6514196.0,1413934.0,1371945.0,4293433.0,3020561.0,3485953.0,4192090.0,2417436.0,2009844.0
wuhan,ba1,ba1,ba1,ba1,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,7576348.0,13249901.0,1339562.0,3155320.0,8389581.0,4765841.0,4235122.0,7823331.0,3248646.0,4650911.0
ba1,ba1,wuhan,ba1,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba4,ba1,2826612.0,4041317.0,1638579.0,2375194.0,7334672.0,1970503.0,2735248.0,2429519.0,2727537.0,1193813.0
wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,ba1,ba4,ba4,ba1,1607959.0,4485657.0,1166967.0,1711434.0,6498402.0,1978076.0,2311304.0,4708993.0,1673162.0,884325.0
ba4,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,2851513.0,1476997.0,4048039.0,1087562.0,2382053.0,650102.0,1844145.0,856794.0,5265224.0,1038945.0
ba4,ba1,ba1,ba4,ba1,wuhan,ba4,wuhan,wuhan,wuhan,ba4,wuhan,ba4,5114964.0,2859911.0,2267679.0,1563303.0,219356.0,276140.0,1396905.0,2546466.0,5173862.0,2982574.0
ba4,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba4,ba1,ba4,wuhan,3234453.0,3030959.0,5304424.0,1528715.0,3059593.0,1670188.0,3108176.0,1559903.0,5807463.0,694335.0
ba1,ba4,ba1,ba1,ba1,ba1,wuhan,ba4,ba1,ba1,wuhan,ba1,ba4,3585919.0,2864523.0,2940899.0,8169037.0,339152.0,619479.0,4841672.0,2309812.0,2293088.0,7813349.0
ba1,wuhan,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,wuhan,wuhan,2101792.0,2247903.0,1900338.0,2119739.0,2199661.0,667370.0,3189276.0,412756.0,1621750.0,1054661.0
ba4,wuhan,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,wuhan,ba4,7214492.0,2550618.0,3194979.0,2110231.0,155194.0,437526.0,1818551.0,2007628.0,5418006.0,3309157.0
ba1,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba4,ba1,6265051.0,4725412.0,2166983.0,2527265.0,8292239.0,2243021.0,2989632.0,2159506.0,3422013.0,1849164.0
ba4,ba4,ba4,ba1,ba1,ba4,ba1,ba4,ba4,ba4,ba4,ba1,ba4,2939794.0,869354.0,1504444.0,2049403.0,273629.0,306695.0,1140270.0,1472243.0,2585415.0,3055383.0
