step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1172432.0,1186075.0,174488.0,311446.0,1293698.0,783855.0,235241.0,357869.0,547170.0,546269.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba1,ba1,2294990.0,1527103.0,290028.0,210917.0,1755815.0,982710.0,514992.0,510614.0,1033147.0,925016.0
ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,370189.0,632530.0,102301.0,1162676.0,31708.0,51829.0,904774.0,325042.0,398526.0,1092321.0
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,781366.0,866683.0,239278.0,1496956.0,177941.0,138526.0,725979.0,737564.0,705097.0,1311973.0
ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,1308231.0,1783642.0,2686074.0,1294263.0,2386946.0,379732.0,1955774.0,226609.0,1690097.0,828205.0
ba4,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,622603.0,790292.0,4551069.0,154811.0,631275.0,221449.0,779403.0,319662.0,3911089.0,290243.0
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,1093250.0,718113.0,1783930.0,550041.0,1100309.0,360644.0,1236476.0,335141.0,2442969.0,551895.0
ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,1042047.0,617934.0,1976486.0,611982.0,1067148.0,289470.0,768767.0,353451.0,2356809.0,671450.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba4,1537897.0,1532024.0,663292.0,1889189.0,3522.0,46446.0,1582348.0,1840814.0,548479.0,2188690.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,ba1,875035.0,3227831.0,40674.0,359429.0,1364498.0,1195150.0,342066.0,921283.0,133605.0,427345.0
wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,358241.0,690662.0,139238.0,635606.0,125809.0,135994.0,384562.0,924897.0,342960.0,675225.0
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,858947.0,624281.0,1633624.0,672922.0,1123990.0,425389.0,696608.0,222066.0,2378263.0,527851.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,674308.0,798750.0,183451.0,1529539.0,163949.0,118478.0,604452.0,629761.0,663106.0,1174849.0
ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,1380691.0,2129519.0,3305382.0,1821859.0,2618543.0,493398.0,2325129.0,299325.0,1930055.0,1100140.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba1,1152730.0,1416073.0,123980.0,114638.0,2000336.0,434625.0,492721.0,796661.0,63622.0,127896.0
ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,1931429.0,999454.0,579625.0,2454015.0,2602.0,1374.0,2568851.0,923521.0,1632066.0,1898367.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,2069231.0,623967.0,2595990.0,391549.0,1354085.0,664915.0,1795826.0,397690.0,3055768.0,912296.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,37367.0,384556.0,20262.0,45141.0,501006.0,139265.0,115036.0,189029.0,58838.0,35577.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,756618.0,423820.0,248134.0,16133.0,303601.0,257410.0,183430.0,131149.0,1061813.0,173158.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,1650182.0,384782.0,1969528.0,262471.0,1002699.0,470197.0,1115268.0,261778.0,2781837.0,720705.0
wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,606181.0,1043194.0,135453.0,266972.0,1072183.0,462045.0,486181.0,966137.0,382312.0,177830.0
ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,2339858.0,1452006.0,210350.0,277204.0,2000569.0,790699.0,246458.0,479722.0,628060.0,461126.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,2282529.0,806679.0,2948241.0,431948.0,1591904.0,784212.0,2308216.0,406664.0,2931334.0,1017233.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,723771.0,1472827.0,48991.0,231674.0,1191817.0,510376.0,358074.0,521043.0,142676.0,454223.0
ba4,ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1713519.0,1699328.0,226444.0,293838.0,1309046.0,971169.0,394313.0,517130.0,706242.0,753024.0
wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,886043.0,1893567.0,400383.0,627818.0,1329179.0,805797.0,989473.0,1249669.0,330694.0,1035659.0
wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1749321.0,3404913.0,141061.0,717089.0,1684100.0,1665201.0,742457.0,1318751.0,245173.0,837861.0
ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,632498.0,1098054.0,634104.0,790168.0,961935.0,254970.0,1809295.0,315889.0,672773.0,408781.0
wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,1096406.0,3771801.0,54922.0,385834.0,1866660.0,1297008.0,432253.0,1028311.0,160177.0,693119.0
ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,1948522.0,2244966.0,2603467.0,1662976.0,2456374.0,719814.0,3002223.0,756333.0,2173086.0,1641780.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,442172.0,2548.0,629034.0,362.0,42518.0,76877.0,22192.0,7626.0,1285428.0,1748.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,385465.0,38462.0,520404.0,11511.0,91463.0,74015.0,140772.0,30915.0,1042649.0,41624.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,412586.0,1450488.0,20.0,105714.0,381743.0,386575.0,38328.0,323029.0,8779.0,318735.0
ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1864430.0,1381180.0,279716.0,322214.0,1346671.0,728985.0,251889.0,436530.0,788931.0,621456.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,1325870.0,1854238.0,2013216.0,1348485.0,1632401.0,363064.0,2259900.0,571982.0,1900948.0,959905.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,1355945.0,1371833.0,1753845.0,1146095.0,1448190.0,433091.0,2646715.0,701966.0,1395016.0,837247.0
ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,285831.0,762529.0,225798.0,980203.0,111509.0,64634.0,400873.0,299100.0,423676.0,803248.0
wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1442890.0,2656598.0,154170.0,508356.0,1726954.0,1594711.0,484075.0,1230161.0,347880.0,729500.0
ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1743052.0,1760134.0,230490.0,301199.0,1373433.0,1007697.0,376110.0,516717.0,772512.0,688529.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,1958345.0,1577881.0,228913.0,294931.0,1889085.0,987237.0,485298.0,531233.0,1066243.0,1080971.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,1730027.0,906926.0,283624.0,216357.0,1499408.0,773204.0,501478.0,380856.0,978062.0,902849.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,337411.0,674151.0,44195.0,210610.0,723409.0,408844.0,324064.0,597302.0,246069.0,148472.0
ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1731017.0,1718288.0,248012.0,311787.0,1373714.0,897619.0,364070.0,465282.0,821405.0,764964.0
ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,38965.0,118248.0,18384.0,245722.0,3202.0,9262.0,84887.0,22463.0,31594.0,130547.0
ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,1202334.0,603231.0,1972755.0,513278.0,973408.0,311822.0,741034.0,310916.0,2885406.0,561610.0
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,1856255.0,1976075.0,2193682.0,2100296.0,2328009.0,722618.0,3921323.0,957486.0,2260905.0,1309465.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,453045.0,1578237.0,118094.0,291959.0,2621939.0,546050.0,663362.0,797881.0,300714.0,165958.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,735059.0,883009.0,198816.0,1606149.0,171021.0,114434.0,789695.0,659710.0,684264.0,1313611.0
ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,157636.0,226849.0,155769.0,71450.0,368983.0,201473.0,956181.0,29821.0,42313.0,84385.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,460324.0,65504.0,607151.0,31391.0,163137.0,81626.0,213576.0,41960.0,1276664.0,62905.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,1603414.0,1747900.0,221718.0,252407.0,1421341.0,954281.0,362433.0,547681.0,753619.0,686078.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,1748982.0,2218705.0,1262558.0,2255976.0,21456.0,108612.0,1764927.0,2396817.0,566746.0,2194814.0
ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,70429.0,156693.0,21470.0,303924.0,66.0,9536.0,221401.0,85594.0,37430.0,199015.0
wuhan,wuhan,wuhan,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,60452.0,315061.0,54159.0,192483.0,37635.0,43821.0,137831.0,345342.0,107777.0,205220.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,1008976.0,285354.0,156583.0,16631.0,553306.0,502639.0,730380.0,310141.0,1339434.0,329805.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,wuhan,wuhan,wuhan,1734302.0,2559698.0,2767776.0,2166135.0,2783958.0,797582.0,4129681.0,846271.0,2729591.0,1849757.0
