comparison,pearson_r,pearson_p,spearman_rho,spearman_p,n,slope,intercept
PSR_LT_vs_Experimental,0.6063725128098907,0.06309894789893707,0.5030303030303029,0.13833369839449197,10,1.3427248131615783,0.27530991256122905
PSR_LT_vs_Predicted,0.8807689702830198,0.0007638421024638967,0.7575757575757575,0.011143446799694208,10,1.3446676480073025,0.08773284645478574
