antigen	phenotype_name	scope	order	r2_train_mean	r2_train_std	r2_test_mean	r2_test_std	num_sig_mean	num_sig_std	n_samples
wuhan	raw	all	1	0.7346212026070909	0.0013738262948331964	0.732914202691149	0.00975460567553469	10.25	0.4629100498862757	6740
wuhan	raw	all	2	0.81442031559254	0.0017394423603695128	0.8082656482793544	0.012705385657244592	29.0	1.3093073414159542	6740
wuhan	raw	all	3	0.8434372782455055	0.0017962519480449384	0.8192098716974636	0.013453354717019722	40.5	2.7255405754769875	6740
wuhan	raw	all	4	0.8823234568628547	0.0017395209623571192	0.8168036419378499	0.014355335207017204	49.875	2.1671244937540095	6740
wuhan	raw	pos4_binders	1	0.6406724742716887	0.005397918622069549	0.6386212768278631	0.03549581900837677	10.0	0.0	3559
wuhan	raw	pos4_binders	2	0.7296941735254423	0.005482212135564552	0.7161679674025021	0.035637555017417534	29.375	0.9161253813129043	3559
wuhan	raw	pos4_binders	3	0.7663742960042225	0.005233969246262216	0.7118313638491611	0.03446346267730881	34.625	1.407885953173359	3559
wuhan	raw	pos4_binders	4	0.8130703084592761	0.004470005780926308	0.6494406574803109	0.03440267723954861	34.0	2.2677868380553634	3559
wuhan	latent_hill_v1	all	1	0.7754021827015736	0.0015744580607658252	0.7739857436992756	0.010929023835813461	10.75	0.7071067811865476	6740
wuhan	latent_hill_v1	all	2	0.8045994354609736	0.0016083276977993553	0.7984352241250932	0.01134105187493604	26.125	1.1259916264596033	6740
wuhan	latent_hill_v1	all	3	0.8314003165678233	0.0017287277652621063	0.8075395443071494	0.012872693473695568	30.875	1.246423454758225	6740
wuhan	latent_hill_v1	all	4	0.8561464129504051	0.0017197524063583046	0.78448543358554	0.015952081399497022	31.875	1.7268882005337975	6740
