path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
205,0000000000000->1000000000000->1000000000100->1001000000100->1011000000100->1111000000100->1111000000101->1111000100101->1111000101101->1111010101101->1111010101111->1111011101111->1111111101111->1111111111111,0,4096,4100,4612,5636,7684,7685,7717,7725,7853,7855,7919,8175,8191
206,0000000000000->0000100000000->0001100000000->0001110000000->0001110000001->0001110100001->0011110100001->0111110100001->0111110101001->1111110101001->1111111101001->1111111101011->1111111111011->1111111111111,0,256,768,896,897,929,1953,4001,4009,8105,8169,8171,8187,8191
207,0000000000000->0000100000000->0000100000100->0000110000100->0001110000100->0001111000100->0001111001100->0011111001100->1011111001100->1011111101100->1011111101110->1011111101111->1111111101111->1111111111111,0,256,260,388,900,964,972,1996,6092,6124,6126,6127,8175,8191
208,0000000000000->0000010000000->0000011000000->1000011000000->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,128,192,4288,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
209,0000000000000->0000000000001->0100000000001->0100000000101->0101000000101->0101100000101->0111100000101->0111110000101->1111110000101->1111110010101->1111110011101->1111111011101->1111111111101->1111111111111,0,1,2049,2053,2565,2821,3845,3973,8069,8085,8093,8157,8189,8191
210,0000000000000->0000000000100->0000100000100->1000100000100->1000100010100->1000100010101->1000110010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4,260,4356,4372,4373,4501,5013,6037,6045,8093,8157,8189,8191
211,0000000000000->0100000000000->0100000010000->1100000010000->1100000010100->1100001010100->1100001110100->1100001111100->1110001111100->1111001111100->1111001111101->1111011111101->1111011111111->1111111111111,0,2048,2064,6160,6164,6228,6260,6268,7292,7804,7805,7933,7935,8191
212,0000000000000->0000000010000->0100000010000->0100000010100->0100000010110->0100100010110->0110100010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,16,2064,2068,2070,2326,3350,3862,3870,3998,8094,8158,8190,8191
213,0000000000000->0000010000000->0000010000100->0000010000110->0100010000110->0100010000111->0101010000111->0101010100111->1101010100111->1101010101111->1111010101111->1111011101111->1111111101111->1111111111111,0,128,132,134,2182,2183,2695,2727,6823,6831,7855,7919,8175,8191
214,0000000000000->0100000000000->0100100000000->0100100010000->0110100010000->0111100010000->0111100011000->0111101011000->0111101011001->0111101111001->0111101111011->1111101111011->1111111111011->1111111111111,0,2048,2304,2320,3344,3856,3864,3928,3929,3961,3963,8059,8187,8191
215,0000000000000->0000000000010->1000000000010->1100000000010->1100001000010->1100101000010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,2,4098,6146,6210,6466,6482,6994,6995,7027,7035,8059,8187,8191
216,0000000000000->0000100000000->0000100000010->0100100000010->0101100000010->0101101000010->1101101000010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,256,258,2306,2818,2882,6978,6994,6995,7027,7035,8059,8187,8191
217,0000000000000->1000000000000->1000000010000->1000100010000->1001100010000->1001100010001->1001100110001->1011100110001->1111100110001->1111100111001->1111101111001->1111111111001->1111111111011->1111111111111,0,4096,4112,4368,4880,4881,4913,5937,7985,7993,8057,8185,8187,8191
218,0000000000000->0000000010000->0000001010000->1000001010000->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,16,80,4176,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
219,0000000000000->0000000010000->1000000010000->1001000010000->1001100010000->1011100010000->1111100010000->1111100010001->1111100110001->1111100111001->1111100111011->1111101111011->1111111111011->1111111111111,0,16,4112,4624,4880,5904,7952,7953,7985,7993,7995,8059,8187,8191
220,0000000000000->0001000000000->0001000100000->0001000110000->0001000111000->0001010111000->0001010111001->0101010111001->0101011111001->1101011111001->1101111111001->1101111111011->1111111111011->1111111111111,0,512,544,560,568,696,697,2745,2809,6905,7161,7163,8187,8191
221,0000000000000->0000010000000->0100010000000->0100011000000->0100011001000->0100111001000->0100111001001->0100111011001->0101111011001->0101111111001->0111111111001->0111111111011->1111111111011->1111111111111,0,128,2176,2240,2248,2504,2505,2521,3033,3065,4089,4091,8187,8191
222,0000000000000->0000000010000->0100000010000->0100000010001->0100001010001->1100001010001->1101001010001->1101011010001->1101011011001->1101011111001->1101111111001->1101111111011->1111111111011->1111111111111,0,16,2064,2065,2129,6225,6737,6865,6873,6905,7161,7163,8187,8191
223,0000000000000->1000000000000->1000000000100->1000100000100->1000100000101->1000100010101->1001100010101->1001100011101->1011100011101->1111100011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4096,4100,4356,4357,4373,4885,4893,5917,7965,8093,8157,8189,8191
224,0000000000000->0000000000010->0000000000011->0000000000111->0100000000111->0101000000111->0101000001111->1101000001111->1111000001111->1111000011111->1111000111111->1111001111111->1111011111111->1111111111111,0,2,3,7,2055,2567,2575,6671,7695,7711,7743,7807,7935,8191
225,0000000000000->0000010000000->1000010000000->1000010010000->1000010010001->1000010010011->1100010010011->1100110010011->1101110010011->1101110110011->1101111110011->1101111111011->1111111111011->1111111111111,0,128,4224,4240,4241,4243,6291,6547,7059,7091,7155,7163,8187,8191
226,0000000000000->0000001000000->0000001000010->0000001010010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,64,66,82,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
227,0000000000000->0000000000100->0000000000110->0001000000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,4,6,518,774,790,1814,3862,3870,3998,8094,8158,8190,8191
228,0000000000000->0000001000000->0000001000100->0001001000100->0001001000101->1001001000101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,68,580,581,4677,4685,4941,5965,5997,6125,6127,8175,8191
229,0000000000000->0000000000001->0000100000001->0000110000001->0001110000001->0011110000001->0011110100001->0111110100001->1111110100001->1111110101001->1111111101001->1111111101011->1111111111011->1111111111111,0,1,257,385,897,1921,1953,4001,8097,8105,8169,8171,8187,8191
230,0000000000000->0000100000000->0000100000001->0100100000001->0100101000001->0100111000001->0100111010001->0101111010001->0101111010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,256,257,2305,2369,2497,2513,3025,3027,7123,7155,7163,8187,8191
231,0000000000000->0000010000000->0000011000000->1000011000000->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,128,192,4288,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
232,0000000000000->1000000000000->1000000010000->1000000010100->1000000010101->1001000010101->1001100010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4096,4112,4116,4117,4629,4885,5013,6037,6045,8093,8157,8189,8191
233,0000000000000->0000001000000->0000011000000->0000011000100->0000111000100->0001111000100->0001111001100->0011111001100->0011111101100->0011111101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,192,196,452,964,972,1996,2028,2029,6125,6127,8175,8191
234,0000000000000->0000000000001->0000010000001->0000010000101->0001010000101->0001110000101->0011110000101->0111110000101->1111110000101->1111110010101->1111110011101->1111111011101->1111111111101->1111111111111,0,1,129,133,645,901,1925,3973,8069,8085,8093,8157,8189,8191
235,0000000000000->0000100000000->0000100000100->1000100000100->1001100000100->1001100001100->1011100001100->1011110001100->1011111001100->1011111101100->1011111101101->1011111101111->1111111101111->1111111111111,0,256,260,4356,4868,4876,5900,6028,6092,6124,6125,6127,8175,8191
236,0000000000000->0000100000000->0000110000000->0000110000001->0000110000101->0000110010101->0001110010101->0011110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,256,384,385,389,405,917,1941,6037,6045,8093,8157,8189,8191
237,0000000000000->0000000000100->0000010000100->0000011000100->0000111000100->0001111000100->0001111001100->0011111001100->0011111101100->0011111101110->0011111101111->1011111101111->1111111101111->1111111111111,0,4,132,196,452,964,972,1996,2028,2030,2031,6127,8175,8191
238,0000000000000->0000001000000->0000001000010->1000001000010->1100001000010->1100011000010->1100111000010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,64,66,4162,6210,6338,6594,6610,7122,7123,7155,7163,8187,8191
239,0000000000000->0000010000000->0100010000000->0110010000000->0110010000001->0111010000001->0111010001001->0111010001011->0111010011011->0111010111011->1111010111011->1111011111011->1111111111011->1111111111111,0,128,2176,3200,3201,3713,3721,3723,3739,3771,7867,7931,8187,8191
240,0000000000000->0001000000000->1001000000000->1001000100000->1001000110000->1001010110000->1001010111000->1101010111000->1101110111000->1101110111001->1101111111001->1101111111011->1111111111011->1111111111111,0,512,4608,4640,4656,4784,4792,6840,7096,7097,7161,7163,8187,8191
241,0000000000000->0000100000000->0000100000010->0100100000010->0100100010010->0101100010010->0101110010010->0101111010010->0101111010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,256,258,2306,2322,2834,2962,3026,3027,7123,7155,7163,8187,8191
242,0000000000000->0000000000001->0000000000101->0000001000101->0001001000101->1001001000101->1001101000101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,1,5,69,581,4677,4933,4941,5965,5997,6125,6127,8175,8191
243,0000000000000->0000000000001->0000000010001->1000000010001->1000000010101->1000000011101->1000100011101->1001100011101->1011100011101->1111100011101->1111101011101->1111111011101->1111111111101->1111111111111,0,1,17,4113,4117,4125,4381,4893,5917,7965,8029,8157,8189,8191
244,0000000000000->0000000000001->1000000000001->1100000000001->1100000010001->1110000010001->1110100010001->1111100010001->1111100110001->1111100111001->1111101111001->1111111111001->1111111111011->1111111111111,0,1,4097,6145,6161,7185,7441,7953,7985,7993,8057,8185,8187,8191
245,0000000000000->0000000010000->1000000010000->1000000010001->1000010010001->1000010010011->1000110010011->1100110010011->1101110010011->1101110110011->1101111110011->1101111111011->1111111111011->1111111111111,0,16,4112,4113,4241,4243,4499,6547,7059,7091,7155,7163,8187,8191
246,0000000000000->0000010000000->0000011000000->0000011000100->0000111000100->0001111000100->0001111001100->0011111001100->1011111001100->1011111101100->1011111101110->1011111101111->1111111101111->1111111111111,0,128,192,196,452,964,972,1996,6092,6124,6126,6127,8175,8191
247,0000000000000->1000000000000->1000000000100->1010000000100->1010000000101->1110000000101->1111000000101->1111000001101->1111000101101->1111001101101->1111011101101->1111011101111->1111111101111->1111111111111,0,4096,4100,5124,5125,7173,7685,7693,7725,7789,7917,7919,8175,8191
248,0000000000000->0001000000000->1001000000000->1001100000000->1001100100000->1011100100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,4608,4864,4896,5920,6048,8096,8104,8168,8169,8171,8187,8191
249,0000000000000->1000000000000->1000000010000->1000000010100->1000000010101->1000100010101->1001100010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4096,4112,4116,4117,4373,4885,5013,6037,6045,8093,8157,8189,8191
250,0000000000000->0000010000000->0000010010000->0000011010000->1000011010000->1000011010010->1100011010010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,128,144,208,4304,4306,6354,6610,7122,7123,7155,7163,8187,8191
251,0000000000000->0000000000001->0000100000001->0000110000001->0001110000001->0001110100001->0011110100001->0111110100001->0111110101001->1111110101001->1111111101001->1111111101011->1111111111011->1111111111111,0,1,257,385,897,929,1953,4001,4009,8105,8169,8171,8187,8191
252,0000000000000->0000100000000->0000100000010->0000100000011->0000100010011->1000100010011->1100100010011->1101100010011->1101110010011->1101110110011->1101110111011->1101111111011->1111111111011->1111111111111,0,256,258,259,275,4371,6419,6931,7059,7091,7099,7163,8187,8191
253,0000000000000->1000000000000->1000000000010->1000000010010->1100000010010->1100010010010->1100011010010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,4096,4098,4114,6162,6290,6354,6610,7122,7123,7155,7163,8187,8191
254,0000000000000->0000100000000->0000100000100->1000100000100->1000100000101->1000100010101->1001100010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,256,260,4356,4357,4373,4885,5013,6037,6045,8093,8157,8189,8191
255,0000000000000->0000000000001->0000000000101->0000001000101->0001001000101->0001101000101->1001101000101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,1,5,69,581,837,4933,4941,5965,5997,6125,6127,8175,8191
256,0000000000000->0000100000000->0100100000000->0100100000001->0100101000001->0100101010001->0101101010001->0101101011001->0101101111001->0111101111001->0111101111011->1111101111011->1111111111011->1111111111111,0,256,2304,2305,2369,2385,2897,2905,2937,3961,3963,8059,8187,8191
257,0000000000000->0000100000000->0100100000000->0101100000000->0101100010000->0101100011000->0101100011010->0101110011010->0101110011011->0101110111011->0101111111011->1101111111011->1111111111011->1111111111111,0,256,2304,2816,2832,2840,2842,2970,2971,3003,3067,7163,8187,8191
258,0000000000000->0000000000001->0100000000001->0100000000101->0100000010101->0100010010101->0110010010101->0111010010101->1111010010101->1111010011101->1111110011101->1111111011101->1111111111101->1111111111111,0,1,2049,2053,2069,2197,3221,3733,7829,7837,8093,8157,8189,8191
259,0000000000000->0100000000000->0100000000010->0100000000011->0101000000011->0101010000011->0111010000011->0111110000011->0111110001011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2048,2050,2051,2563,2691,3715,3971,3979,8075,8107,8171,8187,8191
260,0000000000000->0001000000000->1001000000000->1001000100000->1001100100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,4608,4640,4896,5024,6048,8096,8104,8168,8169,8171,8187,8191
261,0000000000000->0000000000100->0001000000100->0001000001100->0001000011100->0001000011101->1001000011101->1001100011101->1011100011101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4,516,524,540,541,4637,4893,5917,6045,8093,8157,8189,8191
262,0000000000000->0000010000000->0000011000000->0000011000100->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,128,192,196,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
263,0000000000000->0000000010000->1000000010000->1001000010000->1001100010000->1011100010000->1111100010000->1111100010001->1111100110001->1111100111001->1111100111011->1111101111011->1111111111011->1111111111111,0,16,4112,4624,4880,5904,7952,7953,7985,7993,7995,8059,8187,8191
264,0000000000000->0000000010000->0000000010010->0100000010010->0100100010010->0101100010010->1101100010010->1101100010011->1101100110011->1101100111011->1101110111011->1101111111011->1111111111011->1111111111111,0,16,18,2066,2322,2834,6930,6931,6963,6971,7099,7163,8187,8191
265,0000000000000->0001000000000->0001100000000->0001100100000->1001100100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,512,768,800,4896,5024,6048,8096,8104,8168,8169,8185,8187,8191
266,0000000000000->0000000000001->0000000000011->0000000010011->1000000010011->1000100010011->1100100010011->1101100010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,1,3,19,4115,4371,6419,6931,7059,7067,7099,7163,8187,8191
267,0000000000000->0000000000100->0000010000100->0000010010100->0000110010100->0001110010100->0011110010100->1011110010100->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4,132,148,404,916,1940,6036,6037,6045,8093,8157,8189,8191
268,0000000000000->0000001000000->0000001100000->0000101100000->0000101100010->0000111100010->0000111110010->0100111110010->0100111110011->0101111110011->1101111110011->1101111111011->1111111111011->1111111111111,0,64,96,352,354,482,498,2546,2547,3059,7155,7163,8187,8191
269,0000000000000->0000000000100->0000000000101->0000010000101->0000110000101->0010110000101->0011110000101->0011110001101->0111110001101->0111111001101->1111111001101->1111111011101->1111111111101->1111111111111,0,4,5,133,389,1413,1925,1933,3981,4045,8141,8157,8189,8191
270,0000000000000->0001000000000->0001000010000->0001010010000->1001010010000->1001010011000->1001010111000->1101010111000->1101110111000->1101110111001->1101111111001->1111111111001->1111111111011->1111111111111,0,512,528,656,4752,4760,4792,6840,7096,7097,7161,8185,8187,8191
271,0000000000000->0000000010000->1000000010000->1000000010010->1000010010010->1000010010011->1000110010011->1100110010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,16,4112,4114,4242,4243,4499,6547,7059,7067,7099,7163,8187,8191
272,0000000000000->0001000000000->0001000010000->0001000010001->0001100010001->0011100010001->1011100010001->1011100110001->1111100110001->1111100111001->1111100111011->1111101111011->1111111111011->1111111111111,0,512,528,529,785,1809,5905,5937,7985,7993,7995,8059,8187,8191
273,0000000000000->1000000000000->1000000010000->1001000010000->1001000011000->1001010011000->1001010111000->1101010111000->1101010111001->1101110111001->1101110111011->1101111111011->1111111111011->1111111111111,0,4096,4112,4624,4632,4760,4792,6840,6841,7097,7099,7163,8187,8191
274,0000000000000->0000100000000->0000100000100->0000101000100->0001101000100->0001101001100->0001111001100->0011111001100->0011111101100->0011111101110->1011111101110->1011111101111->1111111101111->1111111111111,0,256,260,324,836,844,972,1996,2028,2030,6126,6127,8175,8191
275,0000000000000->0000000000100->0000010000100->0000010000101->0010010000101->0110010000101->0111010000101->0111110000101->0111110001101->0111111001101->1111111001101->1111111101101->1111111111101->1111111111111,0,4,132,133,1157,3205,3717,3973,3981,4045,8141,8173,8189,8191
276,0000000000000->0000000000001->0001000000001->0011000000001->0011000000011->1011000000011->1111000000011->1111010000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,1,513,1537,1539,5635,7683,7811,8067,8075,8107,8171,8187,8191
277,0000000000000->0000000000100->0010000000100->0010000000101->0110000000101->0111000000101->0111000100101->0111000110101->0111000111101->0111000111111->0111001111111->1111001111111->1111011111111->1111111111111,0,4,1028,1029,3077,3589,3621,3637,3645,3647,3711,7807,7935,8191
278,0000000000000->0100000000000->0100000000001->0101000000001->0101000001001->1101000001001->1111000001001->1111100001001->1111110001001->1111110101001->1111111101001->1111111111001->1111111111011->1111111111111,0,2048,2049,2561,2569,6665,7689,7945,8073,8105,8169,8185,8187,8191
279,0000000000000->0000001000000->0000011000000->0000011000100->0001011000100->0001011001100->0001111001100->0011111001100->0011111101100->0011111101110->0011111101111->0111111101111->0111111111111->1111111111111,0,64,192,196,708,716,972,1996,2028,2030,2031,4079,4095,8191
280,0000000000000->0000000000100->0000001000100->0000011000100->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,4,68,196,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
281,0000000000000->0001000000000->0001010000000->0001010100000->1001010100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,640,672,4768,5024,6048,8096,8104,8168,8169,8171,8187,8191
282,0000000000000->1000000000000->1000001000000->1000011000000->1000011000010->1000011010010->1100011010010->1100111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,4096,4160,4288,4290,4306,6354,6610,7122,7123,7155,7163,8187,8191
283,0000000000000->1000000000000->1000100000000->1000100000010->1000100000011->1000100010011->1100100010011->1101100010011->1101100110011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,4096,4352,4354,4355,4371,6419,6931,6963,7027,7035,8059,8187,8191
284,0000000000000->0000000000010->0000000010010->0100000010010->0101000010010->0101000010011->0101000110011->0101000111011->0101100111011->0101101111011->0111101111011->1111101111011->1111111111011->1111111111111,0,2,18,2066,2578,2579,2611,2619,2875,2939,3963,8059,8187,8191
285,0000000000000->0000001000000->0000001100000->0000001100100->0000001100101->0000011100101->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,64,96,100,101,229,4325,4333,4335,4351,6399,6655,7167,8191
286,0000000000000->0100000000000->0100000000010->0100000000011->0100000000111->0100010000111->0101010000111->0101010001111->1101010001111->1101010101111->1111010101111->1111011101111->1111111101111->1111111111111,0,2048,2050,2051,2055,2183,2695,2703,6799,6831,7855,7919,8175,8191
287,0000000000000->0100000000000->0110000000000->0110000000010->0110000000110->0111000000110->0111100000110->0111100001110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,2048,3072,3074,3078,3590,3846,3854,3870,3998,8094,8158,8190,8191
288,0000000000000->0000000000001->0000100000001->0000100000101->0001100000101->0001110000101->0001110010101->0011110010101->0011110011101->0111110011101->0111111011101->0111111111101->1111111111101->1111111111111,0,1,257,261,773,901,917,1941,1949,3997,4061,4093,8189,8191
289,0000000000000->0000001000000->0000001000100->0000101000100->0001101000100->0001101000101->1001101000101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,68,324,836,837,4933,4941,5965,5997,6125,6127,8175,8191
290,0000000000000->0000000010000->0000001010000->1000001010000->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,16,80,4176,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
291,0000000000000->0001000000000->0001010000000->0001010001000->0001010011000->0001010111000->1001010111000->1101010111000->1101011111000->1101011111001->1101111111001->1101111111011->1111111111011->1111111111111,0,512,640,648,664,696,4792,6840,6904,6905,7161,7163,8187,8191
292,0000000000000->0000010000000->0000010000001->0000110000001->0000110010001->0000110010101->0001110010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,128,129,385,401,405,917,5013,6037,6045,8093,8157,8189,8191
293,0000000000000->0000000000010->0000010000010->0100010000010->0100110000010->0110110000010->0110110000011->0111110000011->0111110001011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2,130,2178,2434,3458,3459,3971,3979,8075,8107,8171,8187,8191
294,0000000000000->0100000000000->0100000010000->0100000010001->0100001010001->0100101010001->0101101010001->0101101110001->0101101110011->0101101111011->0111101111011->1111101111011->1111111111011->1111111111111,0,2048,2064,2065,2129,2385,2897,2929,2931,2939,3963,8059,8187,8191
295,0000000000000->0001000000000->0001000100000->0001000110000->0001010110000->0001010111000->0101010111000->0111010111000->1111010111000->1111010111001->1111011111001->1111011111011->1111011111111->1111111111111,0,512,544,560,688,696,2744,3768,7864,7865,7929,7931,7935,8191
296,0000000000000->0000000000100->0000000010100->0000000011100->1000000011100->1001000011100->1001100011100->1001100011101->1011100011101->1111100011101->1111101011101->1111111011101->1111111111101->1111111111111,0,4,20,28,4124,4636,4892,4893,5917,7965,8029,8157,8189,8191
297,0000000000000->1000000000000->1000100000000->1000100000010->1000110000010->1000110010010->1000110010011->1100110010011->1101110010011->1101110110011->1101111110011->1101111111011->1111111111011->1111111111111,0,4096,4352,4354,4482,4498,4499,6547,7059,7091,7155,7163,8187,8191
298,0000000000000->0000000000010->0000100000010->0000100000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->0111111011110->1111111011110->1111111111110->1111111111111,0,2,258,262,774,790,1814,3862,3870,3998,4062,8158,8190,8191
299,0000000000000->0000000000100->0000001000100->0000101000100->0001101000100->0001101001100->1001101001100->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,4,68,324,836,844,4940,4941,5965,5997,6125,6127,8175,8191
300,0000000000000->0100000000000->1100000000000->1100000010000->1100000010010->1100100010010->1100100010011->1100110010011->1101110010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,2048,6144,6160,6162,6418,6419,6547,7059,7123,7155,7163,8187,8191
301,0000000000000->0000001000000->1000001000000->1000011000000->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,64,4160,4288,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
302,0000000000000->1000000000000->1000000000100->1000000000101->1000001000101->1000001001101->1000101001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,4096,4100,4101,4165,4173,4429,4941,5965,5997,6125,6127,8175,8191
303,0000000000000->0100000000000->0110000000000->0110000000100->0111000000100->1111000000100->1111000000101->1111000010101->1111000011101->1111001011101->1111101011101->1111111011101->1111111111101->1111111111111,0,2048,3072,3076,3588,7684,7685,7701,7709,7773,8029,8157,8189,8191
304,0000000000000->0000000000010->0100000000010->0100000000011->0100000000111->0100010000111->0101010000111->0101010100111->1101010100111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,2,2050,2051,2055,2183,2695,2727,6823,6831,7855,7919,7935,8191
305,0000000000000->1000000000000->1000001000000->1000011000000->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,4096,4160,4288,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
306,0000000000000->0001000000000->0001010000000->1001010000000->1001010000001->1001110000001->1011110000001->1011110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,512,640,4736,4737,4993,6017,6019,8067,8075,8107,8171,8187,8191
307,0000000000000->0000010000000->0000011000000->0000011000100->0001011000100->0001011001100->0001111001100->0011111001100->1011111001100->1011111101100->1011111101101->1011111101111->1111111101111->1111111111111,0,128,192,196,708,716,972,1996,6092,6124,6125,6127,8175,8191
308,0000000000000->0000000010000->0100000010000->0100100010000->0100100010100->0100110010100->0100111010100->0100111110100->1100111110100->1100111110101->1101111110101->1101111111101->1101111111111->1111111111111,0,16,2064,2320,2324,2452,2516,2548,6644,6645,7157,7165,7167,8191
309,0000000000000->0000001000000->0000001000100->0000011000100->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,64,68,196,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
310,0000000000000->0000000000001->0001000000001->1001000000001->1001000010001->1001100010001->1011100010001->1011100110001->1111100110001->1111100111001->1111101111001->1111111111001->1111111111011->1111111111111,0,1,513,4609,4625,4881,5905,5937,7985,7993,8057,8185,8187,8191
311,0000000000000->0100000000000->0100000000010->0100000000011->0100000010011->0101000010011->0101000110011->0101000111011->0101100111011->0101101111011->0111101111011->1111101111011->1111111111011->1111111111111,0,2048,2050,2051,2067,2579,2611,2619,2875,2939,3963,8059,8187,8191
312,0000000000000->0000000000100->0001000000100->0001000000101->0011000000101->1011000000101->1011010000101->1011010100101->1111010100101->1111010101101->1111010101111->1111011101111->1111111101111->1111111111111,0,4,516,517,1541,5637,5765,5797,7845,7853,7855,7919,8175,8191
313,0000000000000->0000100000000->1000100000000->1001100000000->1011100000000->1011100000001->1011100010001->1011100110001->1111100110001->1111100111001->1111100111011->1111101111011->1111111111011->1111111111111,0,256,4352,4864,5888,5889,5905,5937,7985,7993,7995,8059,8187,8191
314,0000000000000->0000100000000->0001100000000->0001110000000->0001110000001->1001110000001->1011110000001->1011110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,256,768,896,897,4993,6017,6019,8067,8075,8107,8171,8187,8191
315,0000000000000->0000010000000->0000110000000->0100110000000->0100110000100->0100110010100->0100111010100->0100111110100->1100111110100->1101111110100->1101111110110->1101111111110->1111111111110->1111111111111,0,128,384,2432,2436,2452,2516,2548,6644,7156,7158,7166,8190,8191
