path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
26,0000000000000->0000000010000->0000100010000->0001100010000->0001100010001->0001100110001->0011100110001->1011100110001->1111100110001->1111100111001->1111101111001->1111111111001->1111111111011->1111111111111,0,16,272,784,785,817,1841,5937,7985,7993,8057,8185,8187,8191
27,0000000000000->1000000000000->1000100000000->1001100000000->1001100100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,4096,4352,4864,4896,5024,6048,8096,8104,8168,8169,8185,8187,8191
28,0000000000000->0100000000000->1100000000000->1100000000010->1100100000010->1100100000011->1100100010011->1100110010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,2048,6144,6146,6402,6403,6419,6547,7059,7067,7099,7163,8187,8191
29,0000000000000->0000000010000->0000000010100->0000000010110->0100000010110->1100000010110->1100000011110->1100100011110->1101100011110->1101100011111->1101110011111->1101111011111->1101111111111->1111111111111,0,16,20,22,2070,6166,6174,6430,6942,6943,7071,7135,7167,8191
30,0000000000000->0000000000001->0000010000001->0000010001001->0000110001001->0000110001011->0000110011011->0100110011011->0101110011011->0101110111011->0101111111011->1101111111011->1111111111011->1111111111111,0,1,129,137,393,395,411,2459,2971,3003,3067,7163,8187,8191
31,0000000000000->0000000010000->0000010010000->0000110010000->1000110010000->1000110010100->1000110010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,16,144,400,4496,4500,4501,5013,6037,6045,8093,8157,8189,8191
32,0000000000000->0000000000010->0000100000010->0000110000010->0100110000010->0101110000010->0101110001010->0101110011010->0101110011011->0101110111011->0101111111011->1101111111011->1111111111011->1111111111111,0,2,258,386,2434,2946,2954,2970,2971,3003,3067,7163,8187,8191
33,0000000000000->1000000000000->1001000000000->1001100000000->1001100100000->1011100100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111111001->1111111111011->1111111111111,0,4096,4608,4864,4896,5920,6048,8096,8104,8168,8169,8185,8187,8191
34,0000000000000->0000000000001->0001000000001->0011000000001->0111000000001->0111010000001->1111010000001->1111010001001->1111010001011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,1,513,1537,3585,3713,7809,7817,7819,8075,8107,8171,8187,8191
35,0000000000000->0000000010000->0000100010000->0000100010100->0001100010100->0001110010100->0011110010100->0011110010101->0011110011101->0111110011101->0111111011101->0111111111101->1111111111101->1111111111111,0,16,272,276,788,916,1940,1941,1949,3997,4061,4093,8189,8191
