step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,823229.0,663445.0,15294.0,122439.0,19822.0,23577.0,148520.0,8212.0,13345.0,434489.0
ba1,ba1,ba1,ba1,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,804980.0,254751.0,505668.0,258596.0,547748.0,300608.0,1097675.0,185839.0,580871.0,1365053.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,612379.0,232481.0,200867.0,117287.0,317490.0,65389.0,506132.0,50418.0,174809.0,199542.0
ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,309225.0,863094.0,1571015.0,314161.0,250163.0,376213.0,598007.0,707283.0,422192.0,151951.0
ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,1031487.0,394771.0,1675751.0,1167472.0,680787.0,642850.0,1806708.0,364821.0,1430403.0,759020.0
ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,812235.0,751591.0,1578608.0,571670.0,583512.0,685248.0,790013.0,463586.0,541019.0,312455.0
ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,455218.0,334295.0,4034.0,82119.0,9116.0,13686.0,110503.0,31521.0,11446.0,463973.0
ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,697477.0,262635.0,1685587.0,837472.0,317922.0,560108.0,1302046.0,440427.0,1135887.0,504331.0
ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,882431.0,497980.0,1240685.0,404688.0,832452.0,453549.0,1248683.0,93364.0,484161.0,1651758.0
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,689768.0,253104.0,187331.0,152794.0,410499.0,120836.0,619805.0,69338.0,232591.0,320978.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,1050506.0,388920.0,2145187.0,1044032.0,426224.0,660243.0,1501644.0,413587.0,1264717.0,827186.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,ba1,553998.0,690789.0,682992.0,281141.0,514634.0,508078.0,392086.0,530988.0,137678.0,116185.0
wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,738332.0,919752.0,1011210.0,430027.0,755085.0,772414.0,1246291.0,758325.0,359966.0,171946.0
ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,677581.0,698848.0,1368030.0,531787.0,429160.0,527082.0,504002.0,578175.0,438974.0,275312.0
wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,352881.0,476549.0,7979.0,187005.0,1233.0,42603.0,114638.0,150016.0,4797.0,126620.0
ba1,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,489063.0,362268.0,8677.0,122657.0,10563.0,16971.0,121197.0,11627.0,9867.0,362303.0
ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,942624.0,284540.0,487557.0,277212.0,577494.0,417101.0,1180903.0,252953.0,587137.0,1375175.0
ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,465369.0,212868.0,591451.0,271318.0,316311.0,205829.0,665730.0,55333.0,233387.0,596134.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,wuhan,630807.0,256919.0,457073.0,215118.0,522915.0,191076.0,728085.0,95508.0,269484.0,789957.0
wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,845233.0,509071.0,32349.0,357073.0,20586.0,43480.0,229309.0,249387.0,25431.0,200047.0
wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,110343.0,457337.0,334200.0,199152.0,137934.0,459490.0,79662.0,308044.0,182346.0,50153.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba1,758100.0,742530.0,1507572.0,498999.0,363287.0,468950.0,554563.0,573983.0,581297.0,240276.0
ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,454883.0,433992.0,1091553.0,349649.0,434946.0,343748.0,451913.0,412326.0,445648.0,143780.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,475486.0,598965.0,634896.0,238620.0,403373.0,388561.0,307058.0,434703.0,137065.0,106882.0
ba4,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,401337.0,36331.0,761505.0,490324.0,151222.0,254921.0,382326.0,418436.0,514736.0,78177.0
ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,94853.0,439741.0,758744.0,161726.0,159598.0,176852.0,201610.0,445202.0,92447.0,58087.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,57693.0,196727.0,143845.0,93608.0,176353.0,176679.0,59103.0,130313.0,110242.0,17693.0
wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,558226.0,948121.0,652765.0,285799.0,599856.0,312497.0,512437.0,427003.0,172676.0,148279.0
ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,761920.0,314209.0,2005966.0,988571.0,355960.0,539112.0,1443358.0,449068.0,1188429.0,614245.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,1051027.0,1033556.0,1739748.0,497928.0,500587.0,669775.0,866034.0,488719.0,686292.0,286206.0
ba4,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,704196.0,223054.0,1672390.0,947339.0,222738.0,492470.0,1030399.0,371129.0,1103173.0,491646.0
ba1,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,586356.0,273368.0,804059.0,348737.0,399571.0,236288.0,830821.0,88692.0,373460.0,919226.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,324329.0,659970.0,522744.0,146443.0,416136.0,325537.0,315759.0,477165.0,95087.0,68678.0
ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,500800.0,338267.0,8001.0,109417.0,12090.0,17788.0,180567.0,16354.0,12158.0,427625.0
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,183092.0,326120.0,991636.0,114487.0,265660.0,161316.0,264244.0,200622.0,107725.0,56780.0
wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,813940.0,1132014.0,1327652.0,648755.0,597697.0,852975.0,1000407.0,875597.0,210260.0,328199.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,ba4,ba4,ba4,1507950.0,819101.0,18332.0,137934.0,28716.0,32351.0,220166.0,35413.0,44186.0,676464.0
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,993231.0,293691.0,2105800.0,1356818.0,367651.0,540282.0,1315186.0,415231.0,1270169.0,739586.0
ba1,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,349908.0,282179.0,8187.0,90306.0,7199.0,15073.0,102603.0,10227.0,9291.0,321424.0
wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,641531.0,794702.0,989763.0,461755.0,575536.0,508401.0,848396.0,686105.0,262407.0,197295.0
wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,463847.0,321251.0,17416.0,210236.0,10350.0,39425.0,273543.0,238201.0,16203.0,164214.0
ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,871257.0,330230.0,2053026.0,1187624.0,477726.0,564608.0,1541156.0,520874.0,1245883.0,690199.0
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,1084610.0,378417.0,2257452.0,1193888.0,469654.0,650185.0,1505491.0,509165.0,1300888.0,860556.0
ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,474449.0,555059.0,7979.0,89713.0,5186.0,17500.0,108274.0,18296.0,8641.0,439787.0
