step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,894592.0,445205.0,393617.0,826570.0,538509.0,1098023.0,1206629.0,733131.0,495086.0,272703.0
ba4,wuhan,wuhan,ba4,ba1,ba4,ba4,wuhan,ba1,ba4,ba4,wuhan,ba4,3047596.0,1759703.0,1028821.0,1571094.0,359819.0,81257.0,1895006.0,1136947.0,227409.0,1854592.0
ba1,ba4,ba1,wuhan,wuhan,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,915017.0,2621686.0,1522467.0,632679.0,1558526.0,897902.0,736401.0,326294.0,1119837.0,599710.0
ba1,ba4,ba4,ba1,ba1,wuhan,ba1,wuhan,ba4,ba4,ba1,ba4,ba1,997227.0,1821510.0,2078193.0,823597.0,1897663.0,1119569.0,974236.0,291968.0,902443.0,768474.0
ba1,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,1431951.0,1909491.0,2178469.0,545722.0,2657226.0,622456.0,2036284.0,387072.0,709784.0,870370.0
ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba4,ba4,wuhan,1138340.0,730920.0,2078695.0,1404754.0,583839.0,623282.0,2269642.0,484335.0,1144021.0,326188.0
ba4,ba4,ba1,ba1,ba1,ba1,ba4,ba4,ba1,wuhan,wuhan,ba1,ba1,645538.0,1617720.0,3054884.0,1074402.0,681048.0,1236598.0,1431720.0,1691414.0,924415.0,592037.0
ba1,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba1,843703.0,2355821.0,1779634.0,541871.0,2168607.0,1402115.0,780162.0,258216.0,719088.0,710493.0
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,2516087.0,1162382.0,1251490.0,642321.0,1301276.0,699620.0,3721628.0,436041.0,1077605.0,1072529.0
ba1,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba1,ba1,1454539.0,1636696.0,1123563.0,441827.0,1492019.0,742198.0,982621.0,734716.0,424679.0,703163.0
ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba4,4711920.0,2351954.0,2384530.0,2982816.0,147501.0,183157.0,3368834.0,1537286.0,70444.0,2537540.0
wuhan,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,ba1,wuhan,ba1,ba4,wuhan,1696248.0,1499137.0,3064974.0,2899155.0,1177051.0,1608665.0,4061416.0,1074814.0,891249.0,1073551.0
wuhan,ba1,ba4,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,ba4,ba4,ba4,2884598.0,1923811.0,47712.0,1253532.0,56959.0,317931.0,515515.0,636796.0,115420.0,317176.0
wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba1,1268479.0,2785251.0,2764950.0,799720.0,1002858.0,2939562.0,1061856.0,2213171.0,816003.0,652204.0
wuhan,ba1,ba1,ba1,ba1,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,1688792.0,2102713.0,1017941.0,1191642.0,1275471.0,2324319.0,1614907.0,3183385.0,683428.0,231973.0
ba1,ba1,wuhan,ba1,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba4,ba1,437437.0,1395529.0,1253155.0,348394.0,1383940.0,1205605.0,538572.0,408551.0,824169.0,331533.0
wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,ba1,ba4,ba4,ba1,407227.0,1623241.0,1564389.0,749148.0,678956.0,2091403.0,432339.0,1405329.0,613947.0,200898.0
ba4,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,1624322.0,701099.0,3036325.0,2274742.0,1042264.0,938276.0,2941741.0,898048.0,2017356.0,1872786.0
ba4,ba1,ba1,ba4,ba1,wuhan,ba4,wuhan,wuhan,wuhan,ba4,wuhan,ba4,3521136.0,1658312.0,1094532.0,1520616.0,359433.0,259417.0,752508.0,2008870.0,282668.0,876926.0
ba4,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba4,ba1,ba4,wuhan,2368699.0,613020.0,2507546.0,2525849.0,1268310.0,1406374.0,3159969.0,879877.0,2871048.0,340629.0
ba1,ba4,ba1,ba1,ba1,ba1,wuhan,ba4,ba1,ba1,wuhan,ba1,ba4,4419282.0,2855019.0,1850103.0,1629074.0,168174.0,132309.0,2049883.0,350659.0,22533.0,5405887.0
ba1,wuhan,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,wuhan,wuhan,1156795.0,502469.0,1607776.0,635522.0,1345745.0,417156.0,3277586.0,136798.0,883737.0,1994084.0
ba4,wuhan,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,wuhan,ba4,4713512.0,2450735.0,1935860.0,1914521.0,466262.0,120035.0,2976452.0,1560248.0,785529.0,2888670.0
ba1,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba4,ba1,755855.0,2307529.0,1426340.0,444606.0,1810281.0,1213054.0,1040627.0,544918.0,1331140.0,494054.0
ba4,ba4,ba4,ba1,ba1,ba4,ba1,ba4,ba4,ba4,ba4,ba1,ba4,1999135.0,1461373.0,1503440.0,1828206.0,48758.0,70384.0,1229676.0,710970.0,16875.0,1774858.0
ba1,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,ba1,ba1,ba1,ba4,wuhan,2580326.0,1189158.0,2619472.0,1736079.0,2494180.0,600222.0,7325045.0,188316.0,1889128.0,1667270.0
ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,wuhan,wuhan,1314609.0,403702.0,2728745.0,1679057.0,578492.0,641217.0,1787942.0,728063.0,1386023.0,1177051.0
ba1,wuhan,wuhan,ba1,ba4,ba4,ba1,ba1,ba4,ba1,ba1,wuhan,ba4,4436819.0,2537004.0,1286918.0,1069351.0,920815.0,80491.0,1966975.0,336338.0,336426.0,5923782.0
wuhan,ba1,ba1,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,ba4,5077051.0,3144064.0,767477.0,3006710.0,219934.0,560505.0,2031412.0,3335781.0,36895.0,1505946.0
ba1,wuhan,ba1,wuhan,wuhan,wuhan,ba4,ba4,ba1,ba4,ba1,ba1,wuhan,2118429.0,628244.0,1524507.0,776459.0,2271192.0,420775.0,4532092.0,68123.0,728519.0,2044172.0
ba4,wuhan,ba1,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,ba1,ba4,wuhan,1435803.0,849507.0,3143222.0,2172961.0,1002481.0,834142.0,4651495.0,625035.0,2662927.0,641311.0
ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba1,ba1,wuhan,wuhan,1551696.0,391975.0,747102.0,537296.0,1272168.0,369767.0,1668833.0,138502.0,793901.0,1869520.0
ba4,wuhan,wuhan,ba1,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,1141975.0,244899.0,2485559.0,1430363.0,1021163.0,337159.0,3674379.0,312334.0,1432640.0,759670.0
ba4,wuhan,wuhan,ba1,wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,ba1,ba4,2430603.0,1069136.0,1893691.0,2022336.0,93381.0,83994.0,1648195.0,1417216.0,45930.0,1828287.0
ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,2232157.0,1120260.0,1259437.0,1046799.0,173306.0,55555.0,992489.0,633342.0,335202.0,1443453.0
ba4,ba4,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,wuhan,wuhan,1446414.0,867299.0,3512087.0,2255250.0,1366037.0,1352532.0,2421772.0,1057876.0,2193444.0,2017748.0
wuhan,wuhan,ba4,ba4,wuhan,ba4,wuhan,ba4,ba4,ba1,ba4,ba4,ba1,397215.0,1065876.0,1129411.0,567063.0,987372.0,1156872.0,586721.0,571018.0,741843.0,119148.0
ba1,wuhan,wuhan,ba4,ba1,ba4,ba4,ba1,ba1,ba1,ba1,ba4,wuhan,2114414.0,825127.0,2028091.0,1217832.0,2092925.0,453482.0,5399784.0,98236.0,1436176.0,1355884.0
ba1,ba1,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba4,wuhan,ba1,960322.0,1856077.0,860185.0,214317.0,1636729.0,1889707.0,684166.0,328818.0,690572.0,489584.0
ba1,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,wuhan,ba1,ba1,ba4,5396487.0,4820152.0,2010840.0,2547578.0,268820.0,226462.0,1856194.0,455000.0,21953.0,7712586.0
wuhan,ba4,ba1,ba1,ba4,wuhan,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,2668372.0,2878248.0,144577.0,1341256.0,56770.0,254127.0,737523.0,999980.0,102821.0,1187941.0
ba1,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,ba4,3211652.0,3547883.0,1107174.0,678187.0,618385.0,49830.0,1181676.0,318768.0,210323.0,5994642.0
ba1,ba4,ba4,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,1722843.0,4436819.0,2696573.0,803829.0,2756459.0,2376584.0,1585932.0,291230.0,1186979.0,1818273.0
wuhan,ba1,wuhan,wuhan,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba4,wuhan,2081603.0,1034975.0,1037226.0,2091324.0,1123443.0,1388808.0,3039600.0,947968.0,943475.0,322354.0
ba4,ba1,wuhan,ba1,wuhan,wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,673993.0,1057171.0,2409051.0,975443.0,1252963.0,1447189.0,708010.0,1706524.0,2584470.0,154293.0
ba4,ba4,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba1,ba1,wuhan,1515092.0,700563.0,3039139.0,2008423.0,1105593.0,1108197.0,2988154.0,604717.0,1651910.0,1689335.0
ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,ba4,wuhan,ba4,wuhan,ba1,wuhan,2141682.0,743166.0,2472639.0,1278791.0,2062368.0,380331.0,6213315.0,171301.0,830000.0,2152014.0
ba1,wuhan,wuhan,ba4,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,1409772.0,2588167.0,2099282.0,651684.0,2850680.0,878193.0,1758580.0,268385.0,1409633.0,685909.0
ba4,wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,ba4,wuhan,ba4,ba1,ba4,3535836.0,1725412.0,2104767.0,3167137.0,125278.0,148040.0,2445977.0,1299548.0,18739.0,1975873.0
wuhan,ba4,ba4,wuhan,ba4,ba4,ba1,wuhan,ba4,wuhan,wuhan,ba1,ba4,3602372.0,3367124.0,1619703.0,3157390.0,116220.0,344898.0,1432058.0,2075442.0,17890.0,1959571.0
ba1,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,wuhan,953779.0,397046.0,1351037.0,695507.0,1307463.0,238841.0,3590247.0,64606.0,673947.0,740372.0
ba1,wuhan,ba1,wuhan,ba1,ba1,wuhan,ba1,ba1,ba4,ba1,ba1,ba4,4311229.0,2103189.0,1135793.0,1267372.0,179306.0,107555.0,1661053.0,149259.0,13539.0,5014639.0
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,wuhan,wuhan,wuhan,ba1,ba1,230992.0,445399.0,1233299.0,246023.0,401700.0,172919.0,515277.0,457885.0,271085.0,81531.0
ba1,wuhan,wuhan,ba4,ba1,wuhan,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,1626896.0,993596.0,1974375.0,1210628.0,2093761.0,500393.0,4655603.0,123831.0,1141626.0,1333169.0
ba1,wuhan,ba4,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,1764773.0,438159.0,1558690.0,984305.0,2493009.0,320296.0,5189234.0,97970.0,914016.0,2581997.0
ba4,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,ba4,ba1,ba4,ba1,ba4,ba4,3099382.0,1248833.0,144823.0,1206192.0,50602.0,59638.0,1119939.0,359635.0,241170.0,866161.0
wuhan,ba4,ba1,ba4,ba4,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,ba1,1055302.0,3080640.0,3241289.0,1129517.0,1064904.0,2925299.0,1699321.0,2651844.0,604791.0,567873.0
ba1,ba4,ba4,wuhan,ba1,wuhan,ba1,ba4,wuhan,wuhan,ba1,ba4,ba4,4921622.0,3569628.0,204057.0,1487215.0,133555.0,118029.0,1205049.0,176347.0,255702.0,3061108.0
ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba4,wuhan,wuhan,wuhan,ba4,2977249.0,2204062.0,1100585.0,958499.0,633514.0,58310.0,1657572.0,261383.0,183593.0,2978474.0
ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,5027379.0,3904178.0,2059463.0,1394866.0,703471.0,118321.0,1842446.0,687135.0,316765.0,5716591.0
ba1,ba1,wuhan,ba1,ba4,wuhan,ba4,wuhan,wuhan,ba1,ba4,ba4,ba4,3313039.0,1797939.0,77985.0,542110.0,93086.0,135106.0,623291.0,233753.0,171084.0,1651275.0
ba4,ba4,ba1,wuhan,ba4,ba4,ba4,wuhan,wuhan,ba4,wuhan,ba4,ba4,3595788.0,2349697.0,308055.0,1370924.0,40547.0,100140.0,840182.0,633472.0,632133.0,1224834.0
ba1,ba1,ba1,ba4,ba4,ba1,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,1911389.0,1169228.0,921467.0,637179.0,1338278.0,703209.0,2533772.0,365833.0,815258.0,975980.0
ba4,ba1,wuhan,ba4,ba4,ba1,ba4,ba4,wuhan,ba4,wuhan,ba1,ba4,5149135.0,1591190.0,2025156.0,3151382.0,154543.0,337726.0,1784873.0,2643583.0,66222.0,1348045.0
wuhan,ba1,ba1,wuhan,ba1,wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,1708989.0,836179.0,723748.0,1693568.0,1124437.0,1553924.0,1862574.0,1262446.0,975787.0,521329.0
wuhan,wuhan,ba4,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba4,ba4,ba1,wuhan,1252146.0,544545.0,1364318.0,1346535.0,694647.0,567724.0,3037888.0,359240.0,611606.0,634201.0
ba4,ba1,ba4,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba4,ba1,ba4,3742132.0,1892417.0,1682691.0,3337797.0,117390.0,266790.0,1529900.0,1703013.0,52055.0,1089246.0
wuhan,ba4,wuhan,ba1,wuhan,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,538311.0,2454661.0,2564150.0,1277454.0,1084970.0,2684434.0,991443.0,1563985.0,722782.0,490032.0
ba1,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,wuhan,wuhan,ba4,ba1,ba4,3871820.0,2188723.0,999374.0,1117459.0,167204.0,172445.0,1522384.0,587384.0,12555.0,4229087.0
wuhan,ba4,ba4,ba1,wuhan,ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,1141275.0,682213.0,1478261.0,1130437.0,739315.0,1120865.0,1884962.0,646503.0,473653.0,1414944.0
ba1,wuhan,ba1,wuhan,ba1,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,wuhan,2238929.0,1255882.0,1990079.0,1520188.0,2848443.0,515666.0,6258018.0,180568.0,1455329.0,1604871.0
