antibody,antigen,BLI_r1,BLI_r2
germline,ba1,556.6,537.3
germline,ba4,10611,10068
germline,wuhan,1030,nan
Omi32,ba1,20.28,18.01
Omi32,ba4,21.42,21.57
Omi32,wuhan,7.739,nan
