"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
88916.8,70767,82344.2,47625.3,35842,87081.4,20970.2,12729.2,2.748
132047,89163,97056.4,48900.4,39766,80589.9,25192.1,12127.3,2.753
102461,80056,83877.4,24534.5,20181,79673.6,10347.3,7029.24,2.754
121721,90339,88301.7,38520.8,30431,82958.1,35486.2,13869.2,2.754
126606,96071,86365.7,35346.8,30267,76535.2,23016.1,9455.92,2.757
115697,88496,85680,32905.2,26552,81217,10300.3,4690.72,2.758
104859,75839,90613.9,36283.9,31474,75551.4,17606,9842,2.759
93600.6,75177,81596.9,31547.7,25588,80799.9,17449,7001.88,2.76
102910,88044,76601.5,36654.3,27557,87171.2,12788.9,6577.8,2.76
112328,87647,83990.5,33108.5,27666,78428.3,23703.7,14409.6,2.766
94430.9,73105,84653.9,28960.5,24401,77781.8,10008.5,7151.6,2.773
91296.8,71147,84096.7,31009.4,26456,76815.6,1269.73,998.64,2.784
81138.3,65836,80768.6,45373.8,35692,83313.2,21205.8,13910.3,2.797
80492.3,59513,88638.5,26625.1,20329,85833,5618.69,2708.64,2.806
103183,79807,84731.5,30282.6,25538,77711.6,13605.1,6239.6,2.835
118113,92012,84126.8,29235.4,22757,84192.5,19055.2,12578.8,2.854
177901,119105,97887.7,63192.4,47489,87207,7408.17,4388.24,2.944
140105,96011,95634.2,42345.4,34662,80063.1,26953.1,8818.28,2.96
114370,89288,83945.7,31374.4,24924,82496.9,25024.2,7352.24,2.96
121384,88700,89684.6,43770.6,33781,84916.2,13567.4,9218.8,2.962
119063,91412,85359.5,40638.3,32164,82802.9,11314.4,7382.64,2.965
114188,89573,83545.8,28905,25249,75025.5,12823.6,8117.56,2.966
121075,84953,93402.2,63597.4,46996,88686.7,16629.7,11305,2.967
131566,100408,85872.6,43563.5,34949,81689.9,31973.5,10591.4,2.968
126652,94519,87815.9,52385.4,36879,93091.7,14784,14224.2,2.974
113117,85291,86917.2,23600.5,20998,73658.6,14365.9,5103.4,2.975
96067,75840,83014.9,34034.8,29904,74588.8,2760.45,2410.72,2.978
153419,108275,92860.4,38326.8,29611,84826,7074.76,4208.88,2.983
103935,78759,86484.8,43183.9,38303,73887.2,5877.41,4391.28,2.987
113076,85599,86572.7,30525.9,26274,76141.6,20244.1,10131.6,2.987
102420,79793,84119.8,29143,23501,81269.4,25621,8727.08,2.989
105754,86068,80526,27603.7,22780,79413.4,14790.9,8521.88,2.99
80964.2,66893,79321.8,34157.2,26768,83626.9,15445.4,5669.6,2.991
103235,79852,84726.8,37087.8,31873,76258.5,19690.4,7391.76,2.994
139312,95264,95838.6,82898.2,60232,90198.2,10469.7,7008.72,2.994
157860,115986,89196.2,55245.2,41994,86215.9,44800.9,22467.1,2.995
120146,91949,85633.5,67140.9,52624,83614.9,22147.5,8151.76,2.996
78741.3,63601,81136.9,27581.4,24941,72474,5444.67,3115.24,3.003
102358,81554,82254.2,27763.9,23857,76268.4,27184.8,9746.24,3.004
98064.8,75957,84610.7,42793.5,30669,91444.6,39901.4,19370.9,3.005
82787.3,63331,85669.7,30026.9,26859,73265.7,20197.9,6447.08,3.007
134366,98272,89606.5,73710.6,58664,82345.1,59318.5,20141.5,3.007
86089.4,75875,74358.5,33994,24208,92028.6,14013.2,6187.92,3.009
121993,87964,90889,46153,34225,88376.5,17787.8,5983.48,3.009
99552,76571,85205.1,29977.6,26859,73145.5,11412.9,5151.28,3.01
92248.8,71044,85096.8,31136.5,25940,78664.6,33192.4,19672.6,3.012
80113.5,63417,82790.4,45675.6,32633,91729.2,19461.8,9402.72,3.013
96989.8,70841,89726.6,26481.1,21513,80670.5,3749.9,1856.68,3.014
92660.9,71467,84971,25977.5,21558,78971.2,17289.6,13682.3,3.016
103225,77794,86959.6,23554.3,20110,76760.5,16603.5,6389.32,3.016
105066,83744,82222.2,37895.6,30948,80248.3,26115.3,15927.3,3.022
114624,84246,89167.6,39102.1,30741,83360.9,8485.4,10076.8,3.023
144724,99691,95140.1,32542.5,25894,82362.9,29117.5,10450.8,3.023
112794,78923,93661.5,36824.5,32182,74990,14813.3,6944.88,3.024
89391.4,71793,81600.7,31874.9,28341,73707.9,21430.6,7469.28,3.025
128502,94810,88825.3,32193.7,27015,78099.1,22996,8500.6,3.025
166802,117355,93149.3,62407.7,46774,87440.7,10294.1,6714.6,3.026
90564.4,69420,85497.4,39142.9,30837,83188.1,6049.89,5986.52,3.027
90445.4,72964,81237.8,32186,29232,72158.7,16217,6964.64,3.032
101194,78972,83976.8,31519.2,27708,74550.3,17206.4,7782.4,3.033
104598,84139,81471.8,44988.8,37768,78065.7,16073,10323.8,3.042
112027,83171,88273.3,34028.6,27711,80477,12671.1,5491.76,3.043
114258,87347,85727.5,28995.1,23579,80589.7,15314.5,7196.44,3.051
130598,98077,87266.9,70602.8,56592,81761.2,23725.2,17542.3,3.051
118015,89453,86461.2,41005.6,33424,80401.6,21304.4,8783.32,3.053
93679.5,67751,90616.8,53890.8,39795,88749.5,41866.4,15193.9,3.089
82139.9,65761,81858.9,30547.4,21757,92014.4,13851.5,7514.88,3.121
80188.3,66937,78510,25919.7,23369,72689.3,24677,7541.48,3.127
89169.8,72680,80404.9,44039.4,32645,88410.6,34917.2,12776.4,3.132
86791.8,68309,83268.5,36234.7,29609,80201.1,20579,9791.84,3.134
108500,77614,91615.7,45064.2,39303,75142.6,1371.37,776.72,3.137
109300,81930,87429.2,37795.4,27827,89012.9,23903.9,15212.2,3.14
121970,93357,85622.3,33151.6,28016,77549.3,14063.3,6331.56,3.152
109923,87896,81959.8,54324.3,46140,77160.7,9260.79,5294.16,3.154
81920.3,67634,79379.1,33084.6,28142,77046.1,9842.14,4644.36,3.169
117696,90822,84928.2,33006.1,26346,82103,37517.5,13376.8,3.17
86100.2,65245,86484.3,33462.7,29177,75162.2,15724.2,8144.92,3.171
112409,84242,87448.3,31970.4,25678,81595.6,17686.1,8338.72,3.182
129530,96448,88015.4,35132.8,29272,78657.5,15192.9,5392.2,3.19
112624,82962,88967.8,30090.8,23850,82684.8,13885.4,7767.2,3.197
123945,95226,85300.8,42017.4,32659,84315.2,26293.2,11667.5,3.199
102831,81720,82466.1,31777.1,27816,74868.6,2456.3,1086.8,3.207
119573,86534,90557.6,35743.4,27294,85824,24909.5,8008.88,3.238
144900,98988,95932.4,35272.2,24412,94691,32097.4,13173.1,3.255
123668,95124,85201.6,44194.1,36772,78763.9,35969,16606.8,3.255
96176.5,76076,82851.7,27210.3,22865,77990.5,19828.3,9392.08,3.256
109745,85076,84538.7,32287.6,27724,76323.9,19081.4,11260.2,3.256
93780.8,69590,88317.6,23602.8,19482,79398.1,11817.2,5851.24,3.269
89277.2,64348,90925.4,40217.9,30652,85988.5,13411.9,5684.04,3.28
124146,84333,96475.2,30666.8,25389,79159.4,21844.1,8808.4,3.288
85785.4,69805,80539.1,37721.5,31776,77798.3,11281.3,9525.08,3.299
109769,80687,89157.1,32105.1,27554,76360.7,26064.5,11348.3,3.308
166038,117912,92284.8,58372.2,43880,87180.4,26131.5,15963.8,3.315
116651,89488,85428.9,29102.9,24804,76894.4,11038.7,5950.04,3.322
130976,90875,94455.6,50032.3,40255,81453.6,21546.9,13186,3.327
135502,101432,87548.6,47171,40497,76336.4,3007.62,1181.8,3.33
97643.2,73264,87343.7,23545.8,20420,75568,10157.8,5688.6,3.345
95993.6,66899,94037.8,37259.5,30251,80719.3,17418.9,9243.12,3.352
93655,73289,83747.6,36556.5,29405,81474.9,9740.5,9011.32,3.353
135767,101313,87823,51161.9,45001,74508.2,1163.47,1164.32,3.399
125002,95216,86037.1,34764.7,27624,82476.9,18704.8,12210.2,3.404
125584,91959,89499.7,31989.6,23999,87356.7,17248.8,7322.6,3.408
107322,82973,84767.7,28199.7,23600,78309.2,15791.9,10706.1,3.416
86125.4,64592,87384.1,63524.2,46748,89054.6,21557.7,11198.6,3.417
96062.2,73028,86207.1,51301.2,39520,85072.8,23927.8,10620.2,3.421
123311,95248,84845.1,50841.6,39756,83810.1,28659.4,11188,3.429
114251,85092,87993.5,37204.1,34168,71359.4,5234.46,2019.32,3.434
114622,87305,86041.8,28475.4,22772,81949.9,14655.4,5359.52,3.446
126069,86218,95827.2,40700.7,34259,77858.6,19530.3,8524.92,3.461
109724,85830,83780.5,52902.8,39378,88045.1,26870.7,12767.2,3.468
106745,84185,83098.4,31529.2,25933,79678.3,16008.3,8877.56,3.471
86942.1,67344,84607.9,30162.4,27144,72823.7,588.28,376.2,3.509
85812.6,69775,80599.3,61848.7,49410,82034.3,2107.49,1774.6,3.536
137171,97594,92112.6,59082.9,48519,79804.9,18958.9,13519.6,3.538
120581,89687,88110.8,56257.7,41579,88672.3,25499.3,17236,3.539
129280,94377,89773,55589.4,42669,85380.6,14612.3,9127.6,3.543
90506.6,70753,83833.1,25011.1,20665,79319.1,7691.53,4763.68,3.559
107845,76657,92199.6,40959.4,28361,94648.1,18750.3,11586.2,3.572
91350.5,70958,84370.3,53636.7,38531,91228.7,18121.2,9264.4,3.572
126759,92439,89868,48091.1,34959,90154.2,15024.2,7534.64,3.586
102860,81991,82216.4,39496.4,31399,82436.9,14283.5,8303.76,3.614
106937,84681,82760.1,36253.1,30596,77653.5,26327.8,11264.7,3.63
125329,96129,85443,39462.5,33653,76849.4,20281,8961.92,3.633
108354,81500,87129.8,51329.7,44241,76036.8,3595.9,2503.44,3.644
97138,74573,85366.5,38717.9,28649,88569.1,10442,4338.08,3.656
96532.8,76596,82594,26960.8,23884,73978.5,13507.3,11511.7,3.673
123910,90439,89790.2,31136.5,26747,76291.2,21338.2,9713.56,3.69
109734,87018,82644.4,46786.7,37111,82622.8,12332.3,7386.44,3.7
94628.1,75324,82331.6,27395.8,21009,85459.2,18513.1,10066.2,3.743
80228.4,62258,84452.6,24335.8,20097,79358.8,10845.5,13151.8,3.746
109160,80892,88437.6,37189.5,32405,75212.1,5479.32,4170.12,3.748
119544,90005,87044.4,36917.6,29041,83311,32678,11939.6,3.749
180207,116705,101196,55202.1,40261,89856.8,17863.2,8260.44,3.752
111919,86381,84911.4,50280.2,35401,93081.1,32546.4,12987.6,3.752
151633,108777,91356,55363.8,44100,82274.8,36430.2,12857.7,3.753
128224,92686,90664.2,45148.2,36659,80712.3,14430.6,13088,3.756
115301,89062,84843.7,29037.5,25878,73537.4,13040.7,6162.08,3.764
88765.2,72852,79851.1,36752.9,27420,87842.3,4125.66,2644.04,3.779
138632,102573,88574.6,61380.5,48137,83566.4,35437.7,11558.1,3.784
156536,110316,92994.2,41898,33109,82933,4882.57,2665.32,3.788
133823,98143,89361.9,52183.7,39874,85767.9,32928.3,18564.5,3.792
130225,91113,93668.4,82148.2,60068,89626.2,39185.3,17687.5,3.797
99792,78473,83340.4,50328,38884,84823.9,18837.3,8241.44,3.803
103276,80044,84557.5,61516.8,44456,90686.7,43488.1,12450.3,3.805
96592,75129,84258.4,27935.6,24541,74601.2,12124.4,6092.16,3.812
99996,70968,92342.2,33769.9,28181,78533.2,25460.8,8627.52,3.812
117918,90672,85229,41104.9,32700,82380.8,24162.6,16964.7,3.815
158318,112336,92361.3,42838.2,33400,84055.2,22739.6,13001.3,3.826
94846.4,73666,84378.9,45048.1,34126,86510.9,33085.4,15336.8,3.835
107418,90641,77665.9,59734.3,47901,81725.8,8536.22,7900.2,3.851
115017,82917,90906.9,45763.4,32221,93080.6,32020.4,13719.5,3.88
118603,86100,90275.9,46839.1,37548,81752.6,35125.1,12807.5,3.883
94632.9,71337,86937.5,54620.7,42333,84558.7,19755.1,8052.96,3.893
105354,81004,85236.1,39342.4,31605,81580.2,19903.7,11560.4,3.894
117168,87281,87977.1,37030.8,30621,79254.5,6365.59,2846.96,3.903
153316,108182,92877.6,61696.2,47750,84677,25086.6,24100.4,3.923
83217.7,71842,75913.2,26523.4,20990,82812.7,19418.6,9899.76,3.924
104935,74100,92807.2,37528.3,29484,83416.5,9840.6,7104.48,3.95
113718,89204,83545.7,55240.6,42940,84309.4,17401.2,14215,3.954
97858.1,77844,82385.7,59702.7,48936,79955,12084.4,6043.52,3.958
104502,78476,87270.3,25539.4,21621,77413,7394.31,4767.48,3.961
92091.7,73917,81650,41790.2,31216,87735.9,17244.9,18133.6,3.965
138642,105765,85908.1,45487.8,31885,93494.9,41701.7,19829.9,3.966
123625,90649,89376.2,40428.1,28980,91424.9,15947.5,15357.3,3.971
95876.6,77588,80983.8,31843.3,25100,83142.9,16682,6624.16,3.976
167158,110276,99340.2,55284.5,43296,83682.6,2711.94,1399.92,3.98
80964.2,62230,85265.5,46551.9,33370,91424.2,21513.8,13078.8,3.992
115868,90621,83794.3,50395.7,39456,83706.8,22421.6,12898.7,3.999
139892,101650,90191.7,55860.4,39726,92153,32078.2,14111.7,4.019
132500,92109,94274.4,62634.1,46112,89017.8,56918.4,28263.6,4.042
112136,85615,85837.2,34368.9,26914,83688.9,15656.4,8934.56,4.05
97259.7,79974,79701.1,50704.5,39138,84903.9,18432.3,10445.4,4.062
121644,92502,86182.5,41528.4,36194,75194.9,17204.9,9868.6,4.067
99032.5,75952,85451.2,29030.5,25360,75021.5,10654.5,6793.64,4.076
107456,82809,85041.6,21062.6,18468,74743.2,4127.2,2524.72,4.078
128829,91539,92233.5,44492.1,34427,84696.2,33152.3,14099.5,4.084
144182,104477,90442.3,57150.9,45136,82981.3,23175.5,14741,4.089
100837,77572,85191.4,23029.9,19896,75858.9,17547.5,7961,4.108
120744,85089,92997.8,37760.8,25789,95959.2,33080.7,8192.04,4.11
83069.5,65729,82825.6,31906.5,27053,77293.6,14689.3,6021.48,4.111
153749,107009,94161,51526.1,39493,85504.1,29185.3,18072.8,4.117
129340,99704,85016,40841.6,32904,81345.5,20651.4,11900.8,4.141
112195,85293,86206.2,37427.4,31600,77621.6,12981.4,8450.44,4.168
102189,79871,83848.5,44753.2,35762,82012.9,17258.8,6925.88,4.175
89367.6,66956,87472.3,61915.7,44881,90410.4,26568.1,10527.5,4.176
122136,91164,87801.3,43688.3,33036,86667.7,21611.6,13680,4.182
128819,100289,84179.7,47656.1,35829,87169.3,25574.8,16028.4,4.185
104406,81972,83471.7,55847.3,38264,95651.5,19004.4,12505,4.19
116795,86500,88488.6,41828.7,36068,76003.3,19404,9078.2,4.2
100968,75585,87544.7,46497.2,38489,79171.8,3187.8,2211.6,4.203
108484,83991,84647.6,50786.1,41167,80849.2,21274.3,10938.7,4.211
127239,98109,84994.5,38653.2,30560,82892,27177.1,13182.2,4.238
114798,86974,86502,44616.9,37463,78050.7,17579.1,6786.8,4.239
94764.8,79844,77783,72123.6,56956,82988.5,15573.2,8278.68,4.242
124174,96080,84699,46166.9,35080,86248.4,18542.4,9842.76,4.242
106397,75859,91918.2,41925,32011,85832.8,24059.4,12197.2,4.247
113040,83764,88441.6,31611.6,27636,74963.7,13428,4914.92,4.259
110121,87248,82717.1,34854.1,30680,74452.3,13981.7,8367.6,4.267
105009,81854,84074.9,30659.9,27054,74270.9,16501.1,8740,4.282
134278,104978,83827.6,41045.6,32666,82347.6,21831,13139.6,4.283
133618,97621,89701.9,36361.7,28981,82226.3,10385.8,8257.4,4.29
91291.4,69225,86426.4,41616.2,34756,78471.6,9815.19,8042.32,4.295
137509,97897,92053.7,46382.5,36116,84165.5,25135.1,12345.4,4.296
116363,91501,83342.9,34144.9,28553,78370.7,21705.5,10295.7,4.307
122439,93048,86236.6,54892.5,44897,80126.4,10716.9,6919.04,4.309
81066.2,66393,80019.8,40447.3,28953,91553.8,30206.3,14915.8,4.314
82516,64305,84095.6,31505.3,24993,82612.4,17859.4,7598.48,4.324
90304.7,74284,79670,38555.4,30433,83027.3,22284.6,9719.64,4.329
102347,78627,85306.6,33809.2,27423,80797.8,23553.5,15934.2,4.338
129729,91693,92721.6,43319.4,35376,80251.6,35307.6,17565.1,4.342
110408,81451,88835.1,32497.1,24438,87148.2,9517.2,6295.08,4.349
106839,84035,83320,61928.8,48779,83203.1,22119,12003.4,4.349
120437,87802,89894.9,35408.4,27386,84734.1,4245.01,2687.36,4.351
137869,95308,94802.2,57746.9,44529,84989.6,22710.4,14514.5,4.371
115086,82476,91448.1,63803.7,51713,80858.6,6699,3568.96,4.377
110494,84917,85275.4,31336.7,26917,76296.8,8566.25,4876.16,4.378
120209,93237,84494.6,39250,31241,82336.9,20569,9722.68,4.378
138997,106414,85602.4,85063.4,61463,90700.4,30445.8,10550.3,4.381
102526,81393,82551.6,42586.4,33969,82161.4,16630.5,8912.52,4.394
130473,99652,85805.4,35325.3,28300,81804.9,13414.9,8651.84,4.397
119813,88270,88954.8,36470.3,29219,81800.1,25538.6,11766.3,4.398
92882.6,67430,90273.6,25234.4,21150,78192.2,15228.3,6570.2,4.4
136317,89133,100228,58306.7,39785,96046,28159.7,12706.4,4.405
96753.1,77399,81923.7,46239.3,37707,80365.4,12420.1,7397.08,4.435
135361,100529,88243.7,47088.6,34113,90464,30921.7,13141.2,4.438
104457,81732,83757.7,34399,29792,75670.4,16617.4,6880.28,4.439
114136,87788,85205.4,31897.2,26949,77569.4,28157.4,15306.4,4.453
110099,85402,84488.4,39674.2,32599,79759.9,12510.2,5363.32,4.455
163439,110800,96670.7,54263.4,38892,91438.1,39509.5,10518.4,4.455
107592,83858,84084.7,27458.2,22554,79786.3,27588.3,7972.4,4.457
142933,96233,97339.5,60976.3,47492,84143.5,21215.8,15805.7,4.458
79175.1,61697,84101.7,34099.4,27833,80291.1,28090.4,7565.8,4.46
141769,100421,92520.3,51831.8,41161,82525.9,28465.4,8114.52,4.462
126694,90360,91887.9,78342.1,55541,92440.3,29039.8,20801.2,4.463
127237,95517,87299.6,78597,58317,88326.4,27431.2,11324.8,4.474
82297.7,64844,83175.9,30575.2,27617,72555.8,16116.9,5896.84,4.49
101298,78748,84302.3,30253.3,27128,73086.1,12872.1,7056.6,4.499
92997.5,76938,79215.5,45765.7,39075,76757.6,20634.5,15370.2,4.499
99686,86666,75381.6,59638,44135,88556.4,36305.5,12416.9,4.505
103945,79473,85716.2,48753.3,35605,89737.3,14750.1,17364.5,4.517
124327,97257,83777,35445.4,30756,75528.4,27586,13299.2,4.53
83504.7,65173,83969.8,38956.6,26733,95502.2,9355.5,4717.32,4.534
100081,80057,81928,45023.4,38212,77218.1,9274.65,5883.16,4.544
114191,80173,93343.4,69504,49120,92732.4,19966.1,7276.24,4.547
