"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
137472,98621,91353.5,47927.1,37952,82761.1,17614.5,1602.08,0.316
124107,91888,88515.5,35439.2,29112,79779.7,15362.3,1310.24,0.316
150627,102615,96199.2,47616,37963,82200.1,14286.6,1148.36,0.32
120133,90261,87225.1,54503.7,44077,81038.9,14354.3,1298.08,0.322
99463.6,76557,85145,37696.9,30969,79773.4,11597.7,1320.88,0.323
126080,97184,85022.1,66220.8,53724,80780.4,6149.99,646,0.324
108170,89683,79045.6,63671.3,50155,83197.3,27428.2,2837.08,0.328
139423,92963,98288.9,53837.6,43456,81192.5,20471.2,1589.92,0.331
86197.5,68059,83002.1,22579.5,19590,75536.9,6174.63,620.16,0.333
159263,112261,92975.2,52498.6,38653,89011.2,26405.6,2086.2,0.334
116934,85800,89317,35826.6,30389,77262.5,11968.1,942.4,0.336
121885,90666,88101.7,37777.7,29511,83894.2,11015.6,1020.68,0.336
89692.7,67105,87595.6,45279.1,37197,79775.5,2814.35,345.04,0.336
123585,92683,87386.4,33334.1,27910,78272.4,7788.55,804.08,0.336
99267.1,75923,85686.4,54229.6,41419,85805.8,9108.33,978.12,0.338
104746,76692,89509,54246.5,44328,80199.8,8113.49,658.92,0.338
109053,86864,82276.8,54888.7,43784,82157.5,12792,1542.8,0.338
117477,88598,86898.2,47140.2,36558,84506.2,27717.7,2860.64,0.338
112718,90232,81867.8,64171,53637,78406.9,6201.58,866.4,0.342
112343,80408,91564.8,48259.8,38021,83184.3,4984.98,547.96,0.342
132562,97449,89150,43066.9,34196,82536.9,8410.71,942.4,0.342
89823.2,73753,79815.8,42858.2,38701,72575.8,9186.87,900.6,0.343
148293,105824,91836.8,42537.1,33204,83957.1,19622.7,1608.16,0.343
90983.3,66004,90338.2,56820.6,45884,81156.7,13462.7,1328.48,0.347
148077,105241,92211.3,46417.1,36361,83660.9,21854.9,2020.84,0.352
125633,90514,90964,51122.6,40030,83696.5,12263.8,1390.8,0.353
116746,95812,79854.9,69085.2,57224,79120,7612.99,1098.96,0.353
113064,91262,81191.9,56042.9,42199,87035.9,21117.2,2594.64,0.354
90507.3,62931,94253.8,64728.5,52603,80642.7,2410.1,336.68,0.354
113642,81524,91354.9,61561.5,43388,92986.4,19983,1653.76,0.358
144730,107800,87987.2,82100.5,56065,95969.6,10859.3,1191.68,0.361
