"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
100607,78567,83920.2,31007.9,26479,76745.1,7183.33,16.72,0.331
92118.9,74310,81242.2,25058.9,20686,79389.9,23848.4,54.72,0.333
125314,88813,92470.8,80836.1,64416,82241.6,9740.5,36.48,0.335
142504,100561,92870.5,35594,28037,83200.4,14376.7,16.72,0.336
120253,93485,84300.9,33023.8,28448,76077.2,23019.9,73.72,0.337
120753,85252,92826.8,42749.6,35216,79555.9,19674.3,52.44,0.338
111294,82798,88091.3,30358.8,24009,82868.7,19061.3,81.32,0.339
149389,104244,93917.4,52525.5,40824,84320.9,43430.3,84.36,0.34
159948,111755,93797.4,59722.7,44966,87043.3,38023.4,55.48,0.344
167431,109870,99870.4,49865.2,36099,90527.9,40512,74.48,0.344
159064,113108,92163.2,61037.1,45496,87922.7,23732.9,34.96,0.346
149994,109145,90064,51511.5,42084,80217.1,24859.4,101.84,0.347
152742,109613,91322,46563.4,36905,82687.5,13251.7,67.64,0.349
157166,111597,92296.9,44439.8,33456,87051.8,23309.4,53.2,0.353
125610,85793,95951.8,41423.7,33849,80201.6,28837.3,72.96,0.353
119064,88796,87875.3,51121.8,40577,82567,18926.6,28.88,0.362
150752,101213,97612.8,81030.9,60160,88272,15617.1,85.12,0.364
136269,97554,91544.2,55535.5,45102,80696.5,12259.2,-21.28,0.364
112397,90271,81599.4,59183,45090,86019.4,34889.5,74.48,0.37
163759,105497,101729,61687,46052,87786,82537.1,95.76,0.371
130325,88124,96919.8,45021.9,35948,82078.4,20856.2,-11.4,0.372
116526,81341,93884.5,44796.3,36761,79861,20035.4,60.8,0.373
117416,92993,82748.1,31985.8,27621,75892.3,605.22,1.52,0.376
92053,71521,84349.8,27743.1,24425,74439,18568.5,32.68,0.378
88851.5,70697,82365.2,25244.4,20157,82076.7,16014.5,-42.56,0.379
137884,98344,91885.5,36168.4,28725,82518.2,25252.9,70.68,0.379
104179,79478,85903.7,27095.5,23690,74957.1,6334.02,104.12,0.38
165133,122055,88666.4,56073.7,44247,83053,13801.5,79.04,0.381
115680,86499,87645.2,46529.6,38287,79644.8,13520.4,15.2,0.383
135013,95323,92823.2,58630.9,44438,86467.3,34946.4,17.48,0.385
123535,87582,92438.9,51533,40759,82859.4,43234,44.84,0.386
165109,115499,93685.8,47310.3,38747,80019.9,12542.5,11.4,0.387
111685,85787,85320.7,39145.3,33227,77209,10678.4,20.52,0.388
116697,88195,86715.2,28664,23911,78563.2,27014.7,-48.64,0.389
90567.8,73114,81180.8,25537.8,22234,75274.2,15419.2,12.92,0.39
146683,97314,98783.8,44867.9,35026,83950.9,30647.5,-38,0.392
101130,76367,86786.6,28155,22143,83329.7,22420.9,12.92,0.392
84413.8,66730,82903.4,24633.1,21731,74288,12524.8,4.56,0.392
109608,84709,84799.3,38361.4,31929,78738.8,21389.8,23.56,0.394
161533,107857,98150.8,48737.1,35757,89326.2,37217.2,-3.04,0.394
116098,88336,86132.3,38182.8,30764,81340.1,27758.5,-7.6,0.395
117665,88253,87377.3,45259.8,35469,83626.5,35606.3,13.68,0.395
106755,80719,86674.4,33096.9,26610,81512.2,27438.2,63.08,0.398
129164,87469,96775.9,43898.5,35360,81361.1,24210.3,43.32,0.399
111639,82669,88502,33358.7,27661,79035.3,11176.5,-28.88,0.401
91002.4,75752,78729.7,44144.9,36929,78341.6,40403.4,69.92,0.402
136055,103289,86325.8,35686.4,30052,77823.3,31038.7,49.4,0.402
105008,80111,85903.6,25533.2,21058,79463.6,22691.1,0,0.402
131947,96513,89597.2,46172.3,37365,80983.4,23112.3,49.4,0.403
104779,80588,85208.8,29906.8,24021,81594.1,33328.7,28.12,0.404
113371,86104,86289.6,31248.1,25845,79236.9,27509,15.2,0.405
96307,74569,84640.8,28993.6,24980,76065.8,10701.5,36.48,0.405
147804,102624,94388.2,42708.8,32328,86580.2,11672.4,-76,0.406
143896,96354,97872.2,69386.2,53050,85717.2,51941.9,101.84,0.407
136860,96808,92650.1,46966.1,36177,85081,12148.3,44.84,0.408
87614.6,65895,87137.3,30193.2,26447,74819.2,3928.54,9.12,0.409
116211,87776,86766.1,30018.4,26220,75030.1,20717.6,42.56,0.409
149845,103713,94686.6,47422,36713,84652.5,11934.2,44.08,0.409
118272,91897,84345,27388.9,23108,77676.9,19910.7,41.8,0.411
139737,101300,90402.5,44218,33592,86266.7,18561.6,-7.6,0.411
102690,76817,87609.6,37294.2,31413,77805.7,18613.2,26.6,0.411
169593,117548,94552.6,63732.1,50088,83388.2,27012.4,69.16,0.411
113578,87585,84985.2,56544.9,47381,78211.3,33670.6,55.48,0.412
119838,90107,87159.6,33336.4,26488,82480.1,9708.16,73.72,0.412
135501,104667,84842.3,50311,39462,83553.4,27973.3,88.16,0.414
125130,88856,92289.6,41152.6,33857,79658,17436.7,47.12,0.414
110582,84151,86120.4,36896.9,31275,77316.5,17317.3,28.88,0.415
147419,107786,89633.4,38439.2,31575,79783,26694.4,38,0.416
110328,78937,91597.8,27344.2,22964,78036.6,13973.2,91.2,0.416
125096,93956,87256.9,44362,36892,78805.9,16973.1,130.72,0.416
130168,93972,90779.3,27328.8,22204,80662.2,12108.2,-6.84,0.417
122076,89048,89843.1,42629.5,35093,79610.4,7030.1,-14.44,0.418
95550.2,74278,84304.6,32280.7,26350,80286.5,20585.2,63.84,0.418
112468,84340,87392.7,45574,37628,79375.4,14182.6,28.88,0.419
122759,87573,91867.8,42753.5,34213,81895.5,-12.32,9.88,0.421
106213,81625,85277.2,29059,24596,77427.7,7549.85,11.4,0.422
145368,95096,100182,48140.4,37932,83173.3,51944.2,22.8,0.422
141438,97316,95249.3,43609.7,35788,79859.4,25297.6,19.76,0.423
84357.4,61659,89661.6,37339.6,32278,75812.9,12554.8,31.16,0.423
140105,94661,96998,54630.7,43145,82982.5,39856,9.88,0.424
114052,86597,86314,26631.2,22401,77911.9,14972.6,10.64,0.426
159831,108049,96944,48433.8,37725,84139.3,21620.8,-3.04,0.426
114616,87915,85440.2,28224.3,22966,80541.3,18808.8,-22.8,0.428
112673,84094,87808.4,24399.8,21209,75395.5,10196.3,-11.4,0.432
147684,99225,97542,54410.5,40020,89101.6,36628.9,37.24,0.432
108130,77439,91509.1,33520.4,27426,80098.9,23614.4,80.56,0.434
123963,89692,90577.3,43101.5,35281,80063,22741.2,19.76,0.436
133041,97332,89579.5,36673.6,29592,81219.2,33454.2,30.4,0.436
111971,83894,87469,22055.1,18842,76711.8,10077.8,9.12,0.436
115038,85877,87789.6,41668.6,35165,77656.5,20498.9,17.48,0.437
107479,75520,93269.7,36898.4,31168,77585.1,11443.7,20.52,0.441
123768,95712,84746.6,30010,24772,79393.4,15467.8,-6.08,0.442
110002,81772,88160.5,37457.4,29576,83000.1,12397.8,43.32,0.442
124452,88887,91757.6,42737.3,33207,84344.6,19996.9,69.16,0.445
137176,101366,88688.4,44774.7,36742,79863.8,31772.5,104.12,0.447
129122,91439,92544.5,30963.2,24735,82037.9,28469.2,12.92,0.447
122240,90107,88906.4,34933.4,29686,77120.3,21804.9,95,0.447
132321,94730,91542.3,54525.2,40894,87381.2,26929.2,42.56,0.447
100329,75724,86830.8,25881.2,22104,76735.1,18433,2.28,0.449
101597,75449,88248.3,31600.8,24820,83440.4,20804.6,22.04,0.458
166550,112834,96735.4,52267.6,38330,89366.3,20192.5,-18.24,0.458
103450,76922,88137.1,33623.6,25171,87543.4,20174,30.4,0.46
101527,79449,83747.5,24841,21364,76201.9,10463.5,62.32,0.46
113593,83088,89596.7,37025.4,30440,79714.2,30549,4.56,0.461
106942,81445,86052.8,32465.5,25721,82720.7,29272.3,19.76,0.465
115330,82669,91428.1,38333.7,30544,82249.7,19407.1,74.48,0.467
117616,88354,87241,33381,28318,77253.3,16615.8,62.32,0.469
99237.8,74595,87186.2,35501.6,30048,77430.6,20965.6,47.88,0.47
103818,79324,85772.8,26005.2,21169,80508.2,12745.8,31.16,0.471
125334,93777,87589.3,25765.7,21817,77397.6,15200.6,64.6,0.471
127538,93952,88963.9,38909.6,29884,85329.3,30954,14.44,0.472
135542,90697,97940,62695.7,49341,83274.1,31516.1,12.92,0.475
144958,102976,92254,48555.4,38376,82919.8,6036.8,22.04,0.476
118673,89633,86768.8,34315.1,28681,78409.8,20839.3,47.12,0.477
101556,80082,83109.5,31791,25502,81697.7,15347.6,9.12,0.478
149954,108677,90427.6,45453.1,34413,86560.7,37806.2,-17.48,0.479
135996,90055,98968.7,50003,38111,85985.6,31419.8,49.4,0.48
134087,93391,94094,40343.4,32914,80328.8,34819.4,-46.36,0.482
156676,110486,92934.2,80341.8,56714,92839.2,46113,184.68,0.483
109989,73862,97590.3,42021.2,34186,80556.4,27678.4,-21.28,0.483
118270,79644,97320.2,56976.9,46648,80047.1,19806.7,82.08,0.485
121666,91489,87152.8,27781.6,22905,79489,22538.7,22.04,0.485
119116,87120,89604.7,45560.9,36516,81769.1,12182.9,-3.04,0.485
132827,89132,97663.7,45379.2,35884,82877.3,41871.8,36.48,0.486
106402,82199,84832.4,27571.4,23535,76775.8,14115.6,38.76,0.487
