"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
96027.6,69671,90328.3,40130.1,33979,77399.7,18289,13734.7,0.575
125171,92753,88441.4,31764,25413,81914.3,28052.6,23057.6,0.586
109661,82382,87236.7,29296.2,24983,76850.5,11955,7805.96,0.639
100843,77921,84815,38878.8,31965,79711.1,16231.6,13898.9,0.647
113036,87284,84871.8,35394.6,31144,74480.5,74687.7,326.04,0.649
139301,98829,92373.8,36518,29289,81711.4,21778.7,17188.9,0.652
110442,82460,87774.6,46752.9,37793,81073.1,9931.46,7080.16,0.655
130306,95097,89800,33879.2,29417,75477.1,14988,10693.2,0.662
128641,97169,86762.4,35416.9,29381,78999.5,22621.1,16042.8,0.664
124600,94127,86753.2,28562.4,24370,76810.2,14235.8,13471.8,0.667
122225,91499,87543.1,35492.4,27878,83436,17144,11042.8,0.668
143714,101084,93174.3,48242.8,37384,84572,25406.9,19337.4,0.673
104163,74528,91595.5,43307.9,34924,81268.6,13662.1,12494.4,0.674
154429,102325,98906.8,53063,42153,82498,20626.8,18160.2,0.68
124810,91855,89048.4,54362.8,43679,81565.9,24115.6,17888.1,0.68
120735,86539,91432.9,31492.2,26262,78587.9,14864.8,10763.9,0.685
148166,103323,93979.1,48090.3,38123,82670.5,27324.2,17026.3,0.686
113213,86639,85636.9,81304.3,61740,86303.2,4032.49,2475.32,0.694
153365,105569,95207.3,53664.4,43337,81153.5,12664.2,12337.8,0.71
111870,79060,92733.7,48764.1,39564,80775.6,18607.8,13815.3,0.728
115827,86669,87584.3,33791.4,29312,75551.2,5714.94,4104.76,0.731
134653,99088,89058.4,40926.3,32932,81444.9,3039.19,2366.64,0.731
125482,96727,85018.4,46856.8,35019,87689.8,24386.7,15203.8,0.733
118398,87618,88558.8,35673.3,28902,80890.1,17156.4,13897.4,0.742
99335.1,75762,85927.3,26384.8,22426,77104.9,36312.4,888.44,0.742
104586,77685,88230,30042.3,25277,77891.1,26139.2,22665.5,0.744
123303,95894,84267.9,91784,69710,86288.3,26455.7,19817.8,0.745
97361.7,74208,85984,30669.9,26528,75768.3,18180.5,15713,0.745
116892,78460,97637.4,48137.3,40472,77948.4,18247.5,16402.3,0.746
119080,92033,84796.1,30521.3,26361,75878.8,19479.5,16565,0.746
119437,89166,87785,39203.8,32163,79882.4,18008,15818.6,0.747
91247.2,66803,89516.6,58817.2,46603,82712.4,17004.7,11871.2,0.749
109565,83285,86215.4,35279.9,29249,79048.9,12598,11463.1,0.749
107815,83673,84445.2,33819.9,28004,79146.7,16177.7,13148.8,0.75
153558,113663,88538.5,100734,79810,82717.5,33144.6,26809,0.751
129621,92862,91478.1,46412.5,36634,83029.2,19580.3,15657.5,0.757
114069,86456,86467.1,37305,31601,77365.2,17151,9237.04,0.757
164389,114481,94106.6,68769.5,52301,86171.9,32250.7,30088.4,0.759
119685,91552,85674.4,36517.2,29592,80873,17408.9,12257.3,0.76
143895,105234,89613,64977.2,50958,83565.8,10626.8,9339.64,0.761
90835.1,71320,83468.4,57503.6,45384,83037.1,14267.3,12765.7,0.765
159296,112486,92808.3,69472.5,51342,88678.8,19158.4,14942.4,0.768
120163,88673,88809.8,39317,32333,79691.9,15004.2,13315.2,0.771
84596.8,67371,82292.6,24474.4,21798,73582.8,3736.81,3512.72,0.771
131692,95920,89976.9,41617.7,33528,81348.7,42182.9,33766,0.773
102587,80653,83358.7,34904.1,29104,78596.6,15356.1,12195,0.774
120333,93227,84591.1,39186.1,31798,80762.9,7563.71,4632.2,0.785
168929,117482,94235.1,57258,41399,90641.3,44386.6,43158.9,0.785
155661,112954,90314.5,46222.3,36750,82427.9,9904.51,9840.48,0.792
132904,99814,87262.2,41660.1,30874,88431.5,30070,26309.7,0.794
158267,110801,93611.1,52103.6,40813,83666,24494.5,20717.6,0.799
106751,79766,87707.1,40932.4,31514,85122.4,21213.5,16126.4,0.8
132467,96254,90192,54706.2,40803,87866.7,38486.1,32354,0.804
162234,108953,97584.7,59991.5,45437,86528.6,29980.7,25298.1,0.81
151252,104056,95260.6,46947.7,37233,82635.4,19531.8,12747.5,0.81
93994.4,74248,82965.4,31532.3,26277,78642.9,35319.1,31495.2,0.849
136598,101731,87997.4,32768.1,25051,85724.8,25472.4,19028.9,0.854
112396,85221,86433.8,24590.7,21125,76287.7,17844,12982.3,0.858
139894,110008,83340.1,69561.8,48401,94188.2,19903.7,15649.9,0.859
134925,99050,89272.5,38815.7,31011,82029.8,27030.8,21004.9,0.86
114451,87425,85795.2,27373.5,23305,76977,13654.4,10903,0.868
