"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
103019,78029,86525.2,41147.3,35949,75012.6,8466.92,13.68,0.263
145032,101788,93378.9,63782.2,46152,90570.9,7105.56,44.84,0.264
148592,100424,96969.8,43034.5,33889,83222,22115.2,-0.76,0.264
139609,98509,92878.8,31007.1,25488,79727.1,14484.5,45.6,0.265
124781,84090,97249,52785.8,39991,86503.7,18482.3,41.04,0.265
102419,74451,90154.9,39012.1,31248,81819.4,19491.8,0,0.267
153339,106712,94171.7,38008.7,29537,84332.9,20702.2,56.24,0.268
126548,94876,87413.6,28045.7,23093,79591.4,22012,65.36,0.268
118393,85012,91269.3,34043.2,27140,82205.5,30602.1,31.92,0.268
124267,87648,92916.9,59168.3,46236,83866.6,13821.5,49.4,0.269
92094.4,71325,84619.7,24357.4,20032,79686.9,17953.3,36.48,0.269
91426.7,75717,79133.3,23503.5,21533,71533.2,14372.8,-8.36,0.272
165936,120751,90059.4,51148.8,40578,82608.5,19532.6,63.84,0.272
123890,94767,85675.9,46471,35532,85712.2,30599,-3.8,0.274
163131,114373,93474.2,38888.1,30989,82241.1,18091.9,38.76,0.275
153469,107196,93825.4,39904.5,31813,82204.8,19090.6,63.84,0.276
84192.2,64813,85131.4,57418.1,43328,86848.1,9572.64,47.88,0.276
172528,118450,95456.4,55878.1,42410,86348.2,18116.6,13.68,0.276
166662,116910,93425.3,49710.4,38727,84122.8,20887,30.4,0.276
139879,101593,90233.9,37064.7,31716,76588.3,25696.4,-26.6,0.277
91979.5,74205,81234,37226.4,30592,79748.6,11503.8,25.84,0.279
144161,94677,99788.9,49421.7,38997,83055.1,11861.8,29.64,0.28
166533,118108,92406.4,48510.8,40069,79343.2,17418.9,95.76,0.282
126118,86930,95079.8,45353,36462,81516.5,20990.2,24.32,0.285
156131,103679,98691.4,49226.9,34562,93343.3,9424.8,-50.16,0.286
151626,104392,95189.2,50783.8,37793,88063.1,18621.7,-44.08,0.286
120743,88201,89715.6,33587.4,28317,77733.7,14998.1,-38,0.286
161905,110626,95914.4,48845.7,39350,81350.8,17325,38,0.289
101498,72160,92181,42657.2,31876,87701.8,22860.5,44.08,0.292
126976,95742,86915.7,40520.5,32350,82088.1,9020.55,25.84,0.292
126192,90009,91880.8,39243.8,31549,81520.3,10880.1,87.4,0.292
123881,96749,83914.7,72292.2,55710,85043,25437.7,86.64,0.293
138081,93748,96527.5,52655.7,36788,93803.5,10543.6,-29.64,0.295
146038,96267,99418.9,57700.7,43563,86804.7,15698.8,89.68,0.296
141433,96686,95866.2,35250.6,28362,81453.5,14815.6,22.8,0.296
122068,90946,87962.7,54516,42154,84755,19327.8,31.16,0.298
135699,99307,89552.6,40671.4,32902,81011.5,13847.7,37.24,0.298
122869,91128,88363.1,26523.4,22355,77756.2,11643.9,38,0.302
100010,80256,81666.6,69845.2,57696,79336,8016.47,31.16,0.303
118158,78261,98946,34755.5,29065,78367,17595.3,11.4,0.306
101916,79036,84508.2,33999.3,28373,78531.8,7174.09,72.2,0.306
141503,98090,94540.9,45937.4,37447,80395.1,23835.3,-4.56,0.308
102016,72780,91861.7,42520.2,29809,93481.9,17353.5,43.32,0.308
100323,78361,83903.7,33320.2,27012,80840.9,6339.41,37.24,0.309
136045,94753,94095.6,40940.9,33197,80823.6,13883.1,3.04,0.31
127847,95193,88016.6,42740.4,33972,82451.3,23498.1,-12.92,0.312
113772,86192,86506.5,27942.5,23784,76994.7,8674.05,-18.24,0.313
95566.5,75772,82656.5,23815.3,21025,74233.6,19795.9,-22.8,0.313
121883,90449,88311.6,44792.4,33213,88384.6,10364.2,36.48,0.313
118972,87698,88906.9,43321.7,34942,81252.7,30698.4,64.6,0.315
136384,101203,88318.3,55199.8,44815,80722.3,14540.7,9.12,0.316
125922,90963,90723.2,36119.2,26303,89993.7,13612.8,6.84,0.316
110243,87984,82115.9,44133.3,33380,86648.3,26496.5,1.52,0.316
112956,85014,87076.2,26156.1,21630,79249.6,15728.8,24.32,0.317
115314,80095,94353,51153.4,40514,82746.5,21848.8,-26.6,0.319
122675,85198,94364.4,39235.3,30599,84033.1,17788.5,49.4,0.319
109726,80067,89812.5,45852,36911,81410.8,15096.6,4.56,0.32
92241.3,71803,84190.4,22714.2,19494,76361.9,10089.3,27.36,0.32
105672,76864,90098.4,33999.3,26604,83753.6,10463.5,-15.2,0.321
103413,80509,84180.4,37251.8,29625,82408,11494.6,47.88,0.322
95395.2,78561,79579.2,21783.3,19405,73568.2,11821.8,9.88,0.323
116174,84599,89996,28713.3,24404,77108.5,7607.6,-31.92,0.323
115465,82375,91861.5,62484.7,52955,77329.8,16389.4,1.52,0.324
102992,76768,87923.2,30205.6,25828,76643.6,12638.8,63.08,0.324
103654,77810,87303.1,30494.3,26266,76086,15941.3,9.12,0.325
110127,76952,93789.7,47378.1,36865,84225.4,17445.9,31.16,0.328
97901.6,72544,88444,31302,27132,75608.5,17566.8,34.2,0.329
118234,89166,86900.4,32738.1,26371,81359.2,15229.1,38.76,0.33
133613,97571,89744.6,47037.8,38031,81056.7,14234.2,61.56,0.331
120967,89624,88454.7,28873.5,24133,78409.3,7501.34,13.68,0.332
141464,108033,85816.5,37631.4,29305,84156.8,22571,26.6,0.333
144469,107221,88302.7,33435.7,26105,83939.6,18148.9,65.36,0.335
112076,85552,85854.6,33862.3,28792,77076.9,9888.34,57.76,0.338
