"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
106729,84551,82726.5,70609.5,66377,69714.9,37925.2,52435.8,0.287
98733.9,84605,76480.5,160834,148651,70906.9,8225,189772,0.287
158315,141134,73513.8,135346,127077,69800.4,18795.8,44355.2,0.288
166366,152569,71462.7,192777,169963,74332.7,19434.5,31950.8,0.289
119798,95914,81855.3,141462,131041,70747.7,16442.9,35369.9,0.29
115044,99620,75682.6,127407,118102,70699.5,16660.6,29668.7,0.29
93490.9,82328,74422,81235.7,76286,69788.2,11993,23494.3,0.291
112678,93185,79245.5,118960,109255,71357.4,35442.7,60679.9,0.294
129735,111489,76261.6,205846,183239,73621.4,18652.9,177420,0.294
135332,113056,78449.2,125248,112182,73169,35170.1,59066,0.294
180880,160413,73897.6,123350,113135,71453,20615.1,35945.8,0.294
111204,98125,74271,132998,118031,73846.5,10695.3,20628.6,0.296
167280,142417,76977.4,175568,153255,75077.5,34485.8,64394.8,0.296
128936,108353,77985.2,125328,109863,74761.4,32548,52952.6,0.297
140434,115845,79446.4,112026,101763,72145.7,19567.5,29663.5,0.298
157489,145128,71117.8,196551,182062,70751.4,14515.5,67660.8,0.298
94387.4,87520,70678.4,152188,140166,71157.2,7808.11,19157.4,0.299
110787,94636,76720.9,106091,98106,70869.9,35406.5,59143.5,0.3
118619,104465,74415.4,105696,95891,72237.1,18390.2,28263.7,0.302
147284,129133,74747.6,97128.8,91995,69193.2,43666.8,72834.7,0.306
155743,128672,79324,115632,105558,71790.6,12258.1,21547.3,0.306
159349,131511,79408.6,139174,128221,71134,39181.1,64634.9,0.307
95593.1,79112,79188.8,93032.3,89162,68380.7,27610.2,43078.1,0.307
123300,99475,81232.5,131117,117645,73040.7,12740.3,34789.6,0.308
130011,110803,76897,65641.6,63181,68088.3,15381.2,31196.5,0.308
153207,127060,79022.4,141440,129138,71779.3,38550.3,52461,0.308
109499,91768,78198.5,71049,66878,69623.3,20301.2,40140.1,0.309
143193,118132,79439,88691.4,80294,72389.9,12192.3,23575.3,0.309
112274,87502,84089.1,97016,88401,71922.7,19955.7,32190.9,0.309
153130,136203,73680.6,54700.9,52340,68492.2,7039.66,12590.6,0.31
97429.8,81844,78016.3,104078,97862,69698.5,29955.9,49424.7,0.311
121697,110141,72411.9,152426,142911,69899.2,3985.13,64406.1,0.311
128753,109334,77176,96024.8,87080,72267.8,35138.1,60813.9,0.312
144829,120926,78490.4,80048,73937,70952.7,13779.5,27322.3,0.313
109223,96104,74482.1,182254,168762,70775.3,7117.21,15060.6,0.314
115679,96070,78912.6,77963.6,73356,69652.4,5971.82,14100.1,0.314
133589,114834,76239.3,184786,168556,71846.4,11291.8,29753.1,0.314
