antigen	phenotype_name	scope	order	r2_train_mean	r2_train_std	r2_test_mean	r2_test_std	num_sig_mean	num_sig_std	n_samples
expression	raw	all	1	0.1480358833371865	0.003882498711389258	0.14320652202459017	0.027352406009386352	7.0	0.0	8150
expression	raw	all	2	0.34663109609135534	0.0069122708248958685	0.3254617835338982	0.04935996929609409	24.25	1.0350983390135313	8150
expression	raw	all	3	0.4851660911103723	0.006337304479107978	0.42250374450024375	0.04855309142929762	29.625	1.8468119248354136	8150
expression	raw	all	4	0.562227495939904	0.004510231040017861	0.38201168736448193	0.04159817449368341	12.625	1.0606601717798212	8150
expression	latent_logistic_v1	all	1	0.06346197624521432	0.0014101269830766076	0.0594519187956732	0.010007014906662635	6.0	0.5345224838248488	8150
expression	latent_logistic_v1	all	2	0.14075922195050367	0.0028012073169632365	0.1169834386563208	0.02052219797948635	16.0	1.0690449676496976	8150
expression	latent_logistic_v1	all	3	0.20630551297204938	0.0035427657445718393	0.11416076244633407	0.025335859184336944	8.0	1.4142135623730951	8150
expression	latent_logistic_v1	all	4	0.30256603265830306	0.004861656023267744	0.020353441880728212	0.038460460222473236	1.375	1.3024701806293193	8150
