"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
121999,80670,99111.2,46688.3,36878,82969.9,16835.1,24.32,0.432
94398.7,69333,89229,32105.1,27357,76910.4,16592.6,10.64,0.435
91112.1,62963,94835.4,39660,30519,85165.2,13722.3,53.2,0.443
92041.5,64880,92972.1,37018.8,30616,79241.8,17059.5,-5.32,0.447
91557.3,61465,97621.4,36078.8,28580,82731.4,23598.1,-3.8,0.447
89611.1,65567,89568.7,31760,25663,81106,21382.4,4.56,0.45
115513,74460,101669,49362.9,37173,87026.8,17970.1,47.12,0.454
84675.9,60209,92167.6,25212.1,21225,77846.9,8397.78,22.04,0.456
96868.2,66668,95223.4,44791.5,36673,80044.1,12527.7,-30.4,0.46
76181.9,56271,88725.2,26771.9,22111,79350.6,8697.94,15.2,0.463
97535.9,63551,100582,31108.1,24034,84825.7,11206.4,-0.76,0.466
104985,74672,92139.9,43676.6,34248,83578.4,22659.4,12.92,0.466
103653,67626,100449,41767.8,32090,85300.6,12489.5,21.28,0.473
92329.2,62647,96587,35063.1,27315,84125.8,17728.2,42.56,0.474
97995.3,69972,91782.8,24286.8,19304,82452.4,1334.64,-1.52,0.474
107772,72229,97785.6,50935.4,38889,85836.7,17407.9,47.88,0.475
114787,79303,94860.3,45198.2,35235,84067.2,25652.3,27.36,0.476
95447.1,66067,94680,31494.7,25335,81469.8,17382.5,-6.84,0.478
103501,65075,104234,48576.3,37135,85727.7,14360.8,6.84,0.478
114776,73863,101837,58501.7,46119,83132.1,17385.2,67.64,0.48
103156,64631,104600,60262.5,47695,82804.5,2659.9,40.28,0.48
82236.2,57408,93879.4,29626.1,23788,81619.9,16537.6,10.64,0.482
114395,71205,105287,71950.6,51925,90810.9,18443.1,-14.44,0.482
112473,70582,104432,52406.7,41354,83051.9,15967.4,-10.64,0.483
107823,69219,102086,60178.7,42155,93556.5,21007.8,26.6,0.484
96876.2,65659,96694.8,49893.6,40166,81407.8,18236.7,22.8,0.485
109353,68463,104678,40405,31298,84605.5,15910.5,0.76,0.486
115934,75673,100404,59829,47305,82886.7,48208.5,-2.28,0.488
85935.1,60815,92606.1,32823.3,26831,80172.5,12200.7,-7.6,0.488
145949,91023,105083,76524.7,51579,97231.9,30994.9,63.84,0.494
124195,78774,103324,59239.4,45750,84859.3,16329.2,32.68,0.494
115314,77177,97920.4,44075.3,36269,79641.5,18197.2,10.64,0.497
109764,67665,106311,42353.4,33165,83692.8,17352.3,0.76,0.501
114027,73422,101780,52432.2,39031,88037.6,8874.82,12.16,0.501
120388,77861,101332,62765.6,47533,86537.9,40665,20.52,0.503
