"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","582_15 YG D-A","Time"
79602.2,47473,109890,92165.4,75217,80303,105116,37.13,13.897
214215,98337,142762,211742,140141,99019.8,99899,129.72,14.281
217599,114541,124502,160260,107747,97476.3,109258,65.33,14.432
78112.4,48829,104839,68481.3,55626,80681.5,155206,32.9,14.717
107905,61416,115144,130596,95799,89340.5,138821,62.04,14.751
166822,82724,132160,149202,101994,95869.7,104274,217.14,15.023
134176,63928,137551,111186,73466,99184.2,103392,34.78,15.263
133271,71899,121477,99531,73599,88627.1,115437,53.11,15.904
61239.1,41926,95725,47885.6,40904,76721.9,123513,19.74,16.036
142885,68152,137400,111639,73903,98999.5,94204.3,25.38,16.069
82161.3,51465,104625,87379.6,73703,77697.1,118696,24.91,16.169
162211,90518,117443,114041,93034,80334.1,109722,54.52,16.424
97464.9,54779,116604,92309.8,74003,81748.3,107925,56.4,16.496
202110,101797,130117,159264,112438,92829.2,122042,52.64,16.776
185960,93439,130428,145584,105291,90615.7,112702,55.93,17.273
87835.8,56796,101352,79357,65306,79636.5,95557.8,27.73,17.383
132260,65467,132399,198355,132517,98096.2,150364,90.24,18.201
111292,62454,116784,94962,72383,85979.2,146872,39.48,18.334
174929,84201,136152,118710,82219,94623,99964.5,50.76,19.333
134702,74644,118266,133654,100732,86954.7,109411,30.08,19.506
93433.6,56304,108754,89321.1,67508,86711.9,103575,50.29,20.029
91447.2,50656,118309,158882,110242,94450.9,94623.8,57.81,20.706
111754,57756,126808,85574.7,58461,95931,93814.6,30.08,20.863
163452,76880,139334,130491,88339,96807.4,98593,24.44,20.913
146403,71596,134011,131520,99552,86580.8,116653,7.99,20.999
161054,76420,138116,114247,79243,94485.4,95016.9,47.47,21.415
144259,71608,132027,85330,61075,91562.6,105753,27.26,21.814
142984,74744,125369,103737,80034,84945.4,97375,51.7,22.05
135151,63068,140439,112360,83047,88667.8,94912.2,48.88,22.494
136603,71813,124663,104466,76250,89787.1,94620.4,54.52,22.731
98987.8,55700,116468,110877,79938,90900.6,95004.6,39.01,22.897
123699,69432,116758,124796,91887,89007.5,104654,61.57,24.077
139502,72405,126267,132359,89931,96455.1,98803.6,58.75,24.263
91158.6,54273,110076,85850.2,66606,84471.1,107332,55.93,25.493
209704,98580,139411,216082,156314,90594.3,129112,91.18,25.712
222675,104737,139332,173994,122491,93091.3,111390,36.66,26.27
85362.5,54421,102797,73405.9,61711,77955.8,96673.9,51.7,26.277
73267.3,45526,105470,90561.5,73278,80993.5,99589.3,84.6,26.392
203264,105464,126310,169804,119206,93353.5,114748,54.05,26.521
103529,60098,112897,85740.5,66606,84363.1,108816,44.18,26.679
90968.8,54945,108504,80731.8,63087,83865.8,116764,64.39,26.991
142774,77212,121184,103112,76339,88520,120977,51.23,27.021
156673,80673,127276,149843,103690,94706.5,110112,58.75,27.888
140349,80705,113969,127096,95534,87187.8,113712,53.58,27.954
148415,82396,118046,88766.7,68351,85110.9,103144,28.67,28.901
147027,74486,129361,166556,113188,96436,108816,60.63,28.987
142122,67445,138099,103124,71752,94190.2,99465,32.9,29.921
93927.6,48838,126042,77826,51474,99087,103834,1.41,30.045
110715,57660,125838,95490.1,67550,92643.1,99487.9,43.71,31.341
96364.4,57361,110098,139180,95050,95962.9,103346,57.34,31.608
64699,39209,108141,92410.1,71324,84910.9,138411,27.73,31.849
74337.9,47311,102974,76804.6,62594,80414.5,125858,35.72,31.872
143853,75756,124447,85645.8,61827,90783.7,101654,44.65,32.475
198933,97728,133404,146412,102951,93202.2,95460.4,81.78,32.598
130184,64504,132267,158810,107975,96390.8,102218,62.04,32.858
163015,80653,132461,199945,139174,94152.5,106562,71.44,33.21
103282,63161,107166,87631.6,68154,84265.4,103179,24.91,33.257
187454,89739,136896,139729,97798,93634.6,94198.7,56.87,33.277
147642,75537,128094,187747,132966,92536.2,97247.9,80.84,33.293
169022,89645,123566,116004,89635,84815.5,116639,58.28,33.358
169595,83176,133627,120300,87070,90547.9,102486,78.02,33.469
153926,78400,128670,141196,108335,85415,113609,82.25,34.004
132956,66448,131131,138271,94882,95505.1,123842,67.68,34.84
81789.5,50735,105650,89792.1,73873,79658.5,95298.6,28.67,35.871
78183.3,48725,105158,94917.2,70966,87654.6,117498,45.12,36.034
187634,93669,131279,140627,99511,92614,97654.5,65.33,36.14
60134.7,38913,101277,68647,56959,78984,98391.4,22.09,36.581
95964,57353,109656,79134.2,63045,82260.9,118218,31.96,36.787
196277,90765,141720,127380,86383,96639,100760,39.95,36.881
185864,90869,134047,119739,82967,94582.5,105146,79.43,36.929
105696,55174,125547,101967,75062,89026.6,152473,37.13,37.149
106996,63678,110118,102703,82284,81798.8,100605,31.49,37.18
156548,76249,134553,148958,99478,98133.6,148423,47.94,37.939
110320,62428,115812,117584,92550,83263.2,111360,67.68,38.09
144754,76812,123504,118553,93677,82938.8,106883,48.41,38.724
77686,48191,105647,76457.4,64325,77896.8,106892,22.56,38.798
202940,96216,138229,156761,103671,99097.3,93612.4,78.02,38.973
176896,90511,128084,104725,77818,88196.3,115357,83.66,39.073
133735,75854,115544,161416,118930,88947.5,134939,34.78,39.203
179282,83513,140690,176370,122950,94010.6,99191.1,76.61,39.368
78949.6,48156,107443,83876.8,64355,85416,97345.9,44.65,39.641
105415,53870,128244,101394,73222,90750.5,96427.5,31.49,39.876
139731,72287,126681,107290,74493,94389.4,105279,50.76,39.952
144149,69873,135202,114379,82134,91265.1,127473,44.65,40.155
111883,61985,118293,155085,113922,89216,110242,41.83,40.156
176774,83925,138041,134346,99946,88092.4,122008,54.05,40.178
95042.3,51822,120194,156395,109190,93868.6,96899,32.9,40.225
118563,58776,132199,149611,100087,97963.7,97521.2,72.38,40.368
209667,100058,137327,201473,137126,96289,207550,112.8,40.546
86201,51328,110062,117588,93110,82765.2,133182,31.02,40.587
132484,68648,126478,141403,99438,93193.9,143226,53.11,40.619
141224,77861,118869,135551,103611,85738.9,106651,70.5,40.74
91993.2,53439,112818,61597.2,48506,83223.4,128630,331.35,40.778
121737,62749,127143,89177.2,67418,86687.8,130038,20.68,40.807
111547,59408,123053,173654,122042,93251.6,183105,104.81,41.447
121438,62833,126662,131974,93760,92246.7,97621.4,50.29,41.518
97243.9,51080,124765,157455,112371,91829.6,100486,28.2,41.724
124670,62368,131003,109970,77670,92789.9,101590,89.3,41.957
122198,67096,119357,201753,143538,92115.5,180458,86.01,42.581
91890.5,50549,119135,84968.2,65213,85389.1,102512,48.88,43.088
183104,87996,136369,136390,93162,95945.5,112424,79.9,43.403
162445,87684,121413,107964,78855,89727.9,101905,56.4,44.204
123583,65827,123036,85300.9,65380,85504.4,151364,54.52,44.377
160153,74421,141032,137434,92490,97382.2,100533,61.57,44.62
54554.5,36737,97321.1,62425.4,48690,84023.7,93802.2,15.04,44.879
142897,69984,133815,139147,97525,93505.4,96470.6,47.47,44.899
112655,61504,120040,89778.6,68135,86354.1,128208,38.54,44.935
179932,86621,136133,186838,135046,90670.2,118726,104.34,45.212
122180,61147,130950,123435,86563,93451.6,121330,48.88,45.352
132150,65040,133157,125992,89968,91777.3,102799,31.02,45.414
148981,73885,132146,117573,83950,91783.6,149754,62.98,45.627
130682,64727,132316,180838,121550,97502.3,126902,67.21,45.781
114012,56900,131316,135126,90383,97979,101412,69.56,46.061
107068,57088,122912,96260.6,71810,87850.4,104478,52.64,46.443
107121,58138,120752,78649.8,61526,83775.8,93663.9,49.35,47.026
189432,93744,132431,209789,150619,91281.7,127225,103.87,47.147
55413.1,37850,95946,88229.1,76987,75106,136095,29.61,47.285
156874,75591,136006,135920,98768,90187.5,129514,96.35,47.421
187001,88964,137756,173800,120595,94449.9,119122,52.17,47.421
150849,70546,140136,128369,89358,94146.9,108620,55.93,47.644
104852,55305,124249,171279,120024,93522.7,130944,52.64,47.965
117155,63562,120793,102859,74728,90206.3,95972.2,61.57,48.256
179798,85494,137826,148445,103998,93544.9,104842,45.59,48.261
171645,82021,137147,154445,107151,94461.9,104444,67.68,48.264
123276,61325,131741,127551,86975,96110.3,107597,49.82,48.532
150948,82980,119216,98336.6,74288,86751.4,128848,48.88,48.63
156195,90725,112829,152504,115250,86720,94936.2,65.8,48.651
177170,92645,125328,115412,85242,88731,98500.1,64.39,48.737
148167,75108,129284,151005,104434,94760.7,141040,55.46,48.885
138511,72957,124422,108448,84462,84147.6,103485,27.73,49.064
89044.8,54740,106607,100785,82679,79888.2,125883,35.72,49.432
128767,71514,118003,101490,71530,92985.4,140913,49.82,49.614
97453.8,52849,120849,121706,91626,87051.2,147343,43.71,49.76
158066,81098,127735,147111,107355,89805.4,114395,70.97,49.768
187698,89537,137384,172991,121302,93462.2,104532,76.61,50.028
163591,78585,136427,208534,150119,91037.9,127419,121.73,50.26
166124,85493,127345,103948,71914,94729.2,136863,48.88,50.569
159083,74972,139061,167686,118579,92676.3,108315,67.21,50.618
152534,81104,123255,110896,85907,84599.2,125210,43.71,50.832
122756,62054,129644,91259.3,64148,93233.9,133258,45.59,50.957
112907,59063,125281,151372,108319,91584.6,94642.2,46.06,51.092
203928,96413,138619,145540,98183,97145.9,111517,65.33,51.221
127013,69476,119810,90470.2,63294,93674.9,111386,38.54,51.397
171492,80113,140288,159751,112824,92794.2,113079,61.1,51.874
88155.6,56821,101677,69001,60342,74940.3,97235.6,43.24,52.127
167087,77371,141529,88272.8,59206,97710.5,107365,54.05,52.341
129659,61569,138014,128042,88793,94504.6,95067.8,89.77,52.344
176309,82957,139284,134072,91546,95979.4,114446,61.1,52.79
156671,74121,138525,150671,106222,92960,125236,79.43,52.92
154205,72913,138604,130827,86939,98619.6,98135,46.53,53.421
193970,91835,138422,95694.5,64099,97839.8,100764,42.77,53.679
145114,73362,129634,188882,134618,91953.2,147707,50.76,53.827
103708,55785,121835,118502,90965,85374.8,109600,53.58,54.264
97830.8,56201,114081,106924,84575,82854.1,96963.4,22.09,54.341
105763,60625,114331,87717.8,64359,89322,103331,28.67,54.675
148222,76312,127292,126305,95163,86982.7,112669,68.15,54.872
135816,68560,129826,96145.3,64015,98429.7,98289.5,61.1,54.945
84492.2,49607,111623,84318.6,69023,80058.9,94624.9,39.95,55.233
121268,62108,127961,135302,91775,96618.5,97385.1,56.4,55.306
182316,86169,138661,220837,156479,92490,106222,76.61,55.589
144469,82880,114236,116063,80479,94513.2,100723,78.02,56.001
136122,74261,120129,134033,102883,85378.5,108352,80.84,56.038
148309,70558,137753,172867,126830,89324.4,135761,71.91,56.137
140283,69839,131640,111298,80236,90906.9,110508,42.77,56.247
106008,61253,113421,97471.9,73332,87109.6,105152,26.79,56.291
159056,77272,134898,149209,103242,94715.1,114115,69.56,56.72
153640,74261,135589,143753,99713,94480.8,100291,61.1,56.74
99656,56636,115316,136308,105283,84848.6,109273,17.86,56.807
126714,68332,121529,82241,60931,88456.6,99619,47.94,56.838
126916,69379,119886,200149,140838,93135.2,94545.4,41.36,56.886
100376,49894,131845,106808,74591,93842.2,107922,55.93,56.979
138057,69544,130101,154827,105191,96460.3,96840.2,60.16,57.175
91513.5,52329,114610,149196,104463,93599.9,118791,47.47,57.202
107574,53461,131871,88699.5,63120,92094.6,93848.7,54.05,57.298
85607.6,51232,109509,95362.4,70111,89139.7,104004,52.64,57.327
176558,84529,136886,91493.9,62446,96021.3,97898.6,34.78,57.343
121746,64324,124040,101150,75781,87475.3,93536.2,37.6,57.63
195637,97565,131413,194462,139663,91250.2,137925,80.84,57.799
77084.8,45456,111137,139041,108026,84352,97251.8,34.78,57.857
109903,63672,113121,142332,103891,89785.4,98645.7,73.32,57.906
129090,67607,125136,187275,130964,93714.5,185358,64.86,57.99
161626,81404,130121,108322,77715,91346.4,116833,44.65,58.205
165035,80717,133996,174730,115480,99161,103339,43.71,58.273
88321.3,45040,128513,92671.6,62231,97593.3,123812,26.79,58.292
169320,82389,134685,137107,99098,90672.3,98472.6,57.34,58.396
191830,94744,132692,152458,108814,91821.6,99751.1,53.11,58.51
92771.2,49510,122801,135674,100074,88849.6,100280,47.94,58.522
200613,100741,130507,153171,112072,89569.5,107999,80.37,58.592
132468,71076,122143,95379.8,70210,89030.2,137647,36.19,58.791
142410,68368,136511,146587,100644,95452.7,98846.2,34.78,58.906
80405.6,43911,120003,92843.5,72975,83379.2,106513,13.16,58.927
122750,69248,116170,98416.6,76826,83953.8,123985,77.55,58.948
62948.6,40017,103091,75977.4,57251,86972.4,96254.5,35.25,59.132
153704,89760,112223,119349,94554,82721.5,104270,26.32,59.231
107555,61676,114287,65599,47796,89946.7,112704,29.61,59.411
122931,69922,115220,82621.8,64866,83475.2,139014,31.49,60.215
109685,60129,119548,117187,87793,87478.3,95130,35.72,60.237
87074.6,50761,112419,117214,90474,84905.2,97485.4,56.87,60.33
69078.8,41102,110144,92202.9,67027,90151.9,113757,33.84,60.386
206682,96400,140510,168460,113435,97326,133666,73.32,60.882
121507,67302,118319,78472.2,61747,83287.6,94824.8,23.03,61.391
149271,73685,132762,123953,95766,84825.1,100785,54.05,61.401
