"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","582_15 YG D-A","Time"
103560,58531,115954,65042.5,52618,81010.7,42738.3,250.32,2.502
123332,66553,121447,92148.3,65931,91596.2,330.48,128.52,2.529
79653.8,48140,108438,62451,51044,80181.6,2037.42,109.2,2.53
147135,69440,138863,99305.5,67919,95821.2,16524.5,147.84,2.542
152378,73348,136149,110868,80047,90770.1,40053.4,263.34,2.544
117728,65640,117541,72385.4,54818,86538.2,20691.7,168.42,2.547
78028.8,48952,104463,49672.4,39240,82959.6,44854.6,283.08,2.561
103508,59816,113407,59923.8,47866,82045,20577.2,172.62,2.57
164368,78912,136507,111900,78000,94019.3,21528.2,213.36,2.587
105497,50336,137354,108158,72170,98216.1,34449.3,208.74,2.641
70788.5,44272,104788,52214.2,42744,80055.9,19618.2,182.28,2.661
71907.8,43392,108604,74446,61288,79606,10544,161.28,2.699
78757.1,45142,114338,67919,54295,81980.7,13559.4,169.26,2.716
44551,29620,98571.8,64204.9,52039,80857.3,2763.18,1092.42,2.743
85763.8,50105,112177,90762.1,73070,81403.9,7265.16,173.04,2.749
69344,41749,108854,57594.8,41746,90416.6,15072.5,442.26,2.753
83380.5,46786,116796,57932.8,44627,85076,27240.8,193.2,2.774
54378.9,35184,101290,46704.1,39763,76976,9671.4,170.52,2.807
68880.6,39803,113413,78921,59447,87004.7,20551.3,172.2,2.83
158689,82209,126505,101731,72652,91766.5,32464.3,202.86,2.83
70832,42569,109048,50096.9,40412,81241.9,24938.3,244.02,2.844
85818.2,50414,111560,84352.3,66816,82736.4,29349,170.94,2.867
67028.5,38241,114871,74618.3,59082,82769.4,54767.9,246.96,2.887
113494,63845,116500,85847,65834,85458.5,7852.14,123.9,2.919
99373.4,56152,115981,110959,81758,88942.8,34330,184.38,2.924
91481.6,56301,106487,49560.1,40847,79515.6,691.74,105,2.926
90553.6,53272,111400,65155.9,51736,82535.5,25435.6,202.86,2.943
82855,51161,106135,66503.2,55731,78203.4,30622.3,175.14,2.954
112568,59594,123792,103785,76746,88625.3,26359.6,281.4,2.969
126547,68066,121843,109264,75964,94264.9,17852.4,216.72,2.986
94721.3,47328,131162,111168,79526,91611.8,31227.7,181.02,3.03
68576.6,42679,105303,62917,52411,78673,24248.2,191.52,3.039
63747.2,34237,122024,98242.7,68274,94302.9,27497.3,337.26,3.058
129581,67589,125645,92501.5,64447,94064.5,54193.3,239.4,3.065
117291,65305,117706,89782,73300,80272.2,35238.2,248.64,3.067
127736,70340,119012,112161,77479,94871.7,32053.9,194.04,3.08
90431.4,50608,117106,89020.6,63991,91169.9,37547.8,196.98,3.093
71023.4,42258,110147,81913.1,60497,88736,9074.7,145.32,3.099
