"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
139558,85060,107525,96367.6,71008,88941.3,18638.8,31416.9,1.15
96544.5,66201,95574.7,56710,45961,80863,12409.3,8479.32,1.154
106683,66051,105851,70090.3,53903,85216.8,19272.6,2874.32,1.162
115704,76850,98669.7,71019.9,57966,80294.6,27708,5187.76,1.165
86854.6,65254,87229.9,69969.3,53446,85797,23272.3,10547.3,1.166
145146,96818,98249.4,74780.3,56990,85994,12659.6,3809.88,1.166
155549,90548,112582,114201,84340,88739,29160.4,8486.16,1.177
129936,86670,98252.2,73234,57255,83826.1,23674.9,21067.2,1.179
86705.8,53722,105773,73059.2,55539,86209.8,34649.4,13810.7,1.187
124218,82200,99036.1,80110.8,63900,82161.8,38772.9,7919.2,1.188
117153,76923,99811,96865.3,74267,85477.6,11089.4,9683.92,1.192
120555,84364,93649.8,79134.3,61772,83956.3,14131.1,2363.6,1.194
137032,96334,93222.7,47241.6,38179,81092.4,29752.7,2143.96,1.195
109330,73276,97781.9,84071.1,69240,79573.7,27641.3,6783,1.204
92637.9,66030,91944.9,72411.2,52663,90111.4,52332.8,21318.8,1.233
94176.8,62857,98190.6,57011.2,47380,78857.9,20967.1,6567.92,1.251
148527,96122,101266,85036,62375,89345.4,23186,16888.7,1.291
119362,72632,107701,92127.8,71468,84481,10633.8,25233.5,1.303
118618,84774,91700,61408.8,48294,83333,17669.1,6412.88,1.305
75873.7,53518,92912,48197.7,40382,78220.1,28676.3,7074.84,1.31
133626,86543,101190,65861.4,50738,85070.2,43870.9,39410.6,1.313
82133.9,51251,105027,64396.7,50575,83446.4,28821.1,6548.92,1.317
92171.1,57099,105790,62470.9,45791,89408.3,10540,11842.3,1.317
113229,66899,110922,79324.7,60963,85275.1,24091.7,13580.4,1.324
147177,100742,95743.4,74735.4,58806,83288.4,36499,10959.2,1.329
169265,108197,102525,86554.5,65737,86289.8,18707.5,6320.92,1.331
98803.2,65642,98643.7,64336.8,50718,83133.8,15261.2,20786,1.336
78020.2,52446,97493.2,56939.8,44026,84759.2,16203.7,13642,1.344
85667.9,57483,97669.4,64311,50022,84256.6,16313.2,10159.7,1.354
91796.6,59303,101445,62817.7,48115,85562.1,13043.8,12292.2,1.366
93761.4,66008,93090.9,41121,32412,83145.2,8888.28,6245.68,1.372
132132,82082,105497,80380.1,60182,87531,28468.9,21205.5,1.374
80045.7,61387,85455.8,44742,37398,78405.5,25040.3,8159.36,1.375
145027,94251,100843,70637,52475,88218.6,1289.96,4035.6,1.394
92477.3,64858,93444.1,62146.6,47866,85088.3,21423.4,12918.5,1.396
166259,108607,100324,115394,89506,84491.1,29442.6,4927.08,1.396
147726,100099,96718.1,63896.9,50807,82420.6,37389.1,5988.04,1.406
96666.7,69349,91351.7,77160.3,61073,82798.9,13623.1,7737.56,1.418
89901.9,64788,90939.8,78267.3,59956,85551.5,15157.2,4986.36,1.42
114613,73360,102389,66374.1,52052,83568.2,23213.2,14982.6,1.421
95214.6,58658,106379,69098.2,54734,82735,20287.1,4041.68,1.424
176701,113129,102363,101010,74749,88560.2,25855.6,3992.28,1.428
130530,96163,88957.8,63034,51227,80641,3703.96,321.48,1.434
83072.6,54927,99117.8,60361.6,47426,83411.1,10760.3,2644.8,1.436
106542,72255,96634.7,67449.2,53474,82663.6,27701.8,5794.24,1.44
99135.5,58140,111747,76071.6,56523,88201.8,18457.2,7486,1.445
125725,90814,90729.9,74409,58403,83496.9,19559.5,16926.7,1.453
96998.4,68238,93157.6,49950.1,40615,80599,3419.72,10690.9,1.455
88998.5,54191,107631,58644.6,45986,83576.1,21790.6,13669.4,1.455
114383,77250,97037.9,80383.5,58910,89424.8,40809.5,15317.8,1.464
156525,102234,100338,81833.9,61075,87811.2,1861.84,4970.4,1.469
126644,74334,111654,76476.9,58910,85078.7,10587.6,8413.96,1.471
144012,99443,94908.6,82486,64235,84156.7,18857.1,16182.7,1.493
161420,109288,96797.7,70398.4,55825,82644.5,18881.6,31390.3,1.494
89025.2,57406,101633,55870.8,44483,82313.5,13249.8,3990.76,1.496
101599,71568,93036.2,47736.7,38912,80398.6,16555.3,6375.64,1.497
90818.2,61005,97563.5,60284,48809,80943.6,10869.8,3463.32,1.498
106370,77973,89403.8,47464.7,39829,78100,14066.5,7569.6,1.502
119268,82199,95090.2,65442.5,53183,80643.1,11468.9,2878.12,1.532
113083,74580,99369.9,69460.6,52416,86847,4264.28,7410,1.54
128758,83153,101479,91385.9,70769,84628.4,13785,29092,1.543
84084.4,54750,100649,59272.9,46567,83417.6,25005,7306.64,1.545
110808,74334,97693.2,76763.8,60099,83708.5,18953.6,12787.8,1.551
118269,71568,108301,82775.7,62640,86602.6,14488.8,14937.8,1.551
98839.2,65626,98703.6,74156.7,58554,82999.2,15421.7,5725.84,1.559
97291,66754,95515.8,57874.8,46938,80806.2,29861.5,6013.88,1.562
135639,78561,113150,107134,79241,88604.8,27742.6,8202.68,1.57
102332,58930,113803,86195.4,64286,87871.5,23892.5,11251,1.572
132945,83623,104190,75526.9,58443,84693.3,29363.8,13157.9,1.572
155347,101592,100213,69957.7,54117,84719.2,37089.9,20555.7,1.578
120589,73964,106848,85835.7,63980,87923.2,20302.1,4516.68,1.582
169180,109678,101090,80705.1,60702,87132.1,13130.1,15362.6,1.592
95176.8,60728,102712,66147.7,51820,83656,20494.5,5154.32,1.608
87023.2,59826,95329,62007.2,49474,82138.1,16662.7,2738.28,1.623
116466,78313,97464,68163.2,55117,81048.4,23957.1,7772.52,1.625
