Dataset,Mean_log10_paths,SEM_log10_paths,Mean_paths,Percent_of_total
affinity-only,5.600031878932621,0.09405682234603781,398136.3942668984,0.006393689808566214
antigen-capture,4.981457750189949,0.13034935059692423,95820.34941113404,0.0015387831916529656
competitive-capture,5.02089091806206,0.1707106403518862,104927.884771755,0.0016850415012545806
