shortname,geno,tm_1,tm_2,tm_3,expression,expression_sem
germline,0000000000000,80.53,85.29,88.72,4.227665512021763,0.014118667
Omi32,1111111111111,66.8,72.07,76.83,4.324298318133098,0.014097067631167146
5377,1010100010100,67.4,72.19,76.43,4.2021926904019296,0.014108903352221359
