antibody,antigen,n_replicates,mean_log_EC50,sem_log_EC50,mean_hill_coefficient,sem_hill_coefficient,mean_amplitude_A,mean_baseline_B,mean_fit_rmse
2205,PSR,2,-1.7057160911491103,0.12163763593020793,1.168248894973601,0.03177892650665059,23297.437444549745,99.87122269912763,0.1769690799414534
4034,PSR,2,-1.4234113795772596,0.016262864599748905,1.25909551164714,0.06565306349294753,19030.286657473618,99.99240357759143,0.12145695737787096
4628,PSR,2,-1.6019294258256016,0.13418420335547762,1.07464574479769,0.03507505462579308,12315.614158479057,98.90158466008859,0.32046149355399245
5173,PSR,2,-1.0737242858894085,0.03269086136597654,1.055874538462088,0.030612871671003794,9595.782525459446,99.5893892009637,0.28900681793339517
5377,PSR,2,-1.0766904098259675,0.19243815390656469,1.09578135356955,0.051485886329289965,9484.230975413331,99.62758967686955,0.2106390291431246
5469,PSR,2,-1.5171665646446586,0.07678929121414013,1.3867109254132557,0.034778743488684476,30037.85951186012,99.69260809204366,0.19613342766167047
6396,PSR,2,-1.4920419825671811,0.08292466757204253,1.1576940782889902,0.020910412197090108,9766.783634123094,99.14303521835839,0.24655991004783193
6432,PSR,2,-1.6016783322836305,0.08684140637434423,1.221425002382572,0.0022314077406808686,14345.638457621422,99.57906101749941,0.19173642262796803
GERMLINE,PSR,2,-1.6501570675009827,0.08498641081774393,1.1400874017792202,0.04953829189968961,10822.216403350323,100.02650784199749,0.2591666257168956
OMI32,PSR,2,-1.7562435847142044,0.02137961258977028,1.2935674612052643,0.03650819514048841,24614.896008602904,99.15944754055414,0.1738313617694936
