directory,row,shortname,antigen,replicate
flow_data/omi32-germline_wuhan_r1,E,Omi32,Wuhan,1
flow_data/omi32-germline_wuhan_r2,E,Omi32,Wuhan,2
flow_data/omi32-germline_wuhan_r1,A,Germline,Wuhan,1
flow_data/omi32-germline_wuhan_r2,A,Germline,Wuhan,2
