step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,ba1,ba4,wuhan,0.00010807836436543801,7.317012711305982e-05,7.624492159450532e-05,8.014282311191797e-05,7.410955391134094e-05,6.712074396610937e-05,9.335422599689339e-05,5.0839293274962996e-05,7.515893574683944e-05,4.8069046569680055e-05
wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba1,ba4,ba1,ba1,wuhan,ba1,7.938914595537618e-05,0.00011008788699706035,4.346424498028021e-05,7.014476400011168e-05,9.520251214974397e-05,0.00010351088049705767,6.19967233260526e-05,8.74820707918929e-05,8.03649664751902e-05,5.7411562588182715e-05
ba4,wuhan,ba4,ba1,ba1,ba4,ba4,ba1,ba1,ba4,ba4,ba1,ba1,9.495540040012843e-05,7.062053470825253e-05,6.087439516164086e-05,5.044557758882184e-05,7.17718346063446e-05,6.493900027880254e-05,5.191685155767314e-05,5.3082093260237495e-05,8.688275756119883e-05,4.981400794799966e-05
wuhan,wuhan,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,8.632150738688865e-05,0.00011137744627440574,8.336940261200005e-05,8.951430551297428e-05,5.317711533936008e-05,5.66853318741794e-05,8.875841178586087e-05,0.00010204311813276297,8.129682125297451e-05,9.6110337338248e-05
wuhan,wuhan,ba4,wuhan,ba1,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,ba4,7.731978741724508e-05,8.639911020696139e-05,7.609006047664626e-05,8.497345063865995e-05,4.1918920636292455e-05,4.738084013715895e-05,7.06897922348815e-05,8.409558408585232e-05,6.766707672831838e-05,7.67373050649059e-05
wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba1,ba4,wuhan,wuhan,ba1,ba1,8.726912300687874e-05,0.00011413301497945369,5.6514468554458316e-05,7.553329898617128e-05,0.00010318243434019576,9.205095233602672e-05,7.249427722285918e-05,9.256082235626735e-05,6.884195108180885e-05,6.318965153789783e-05
wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,ba1,wuhan,ba4,ba4,4.945007732568612e-05,6.396522423215936e-05,4.957166286575165e-05,6.591467351977904e-05,2.9619060697102213e-05,2.9899017962548234e-05,6.090875755800005e-05,7.148271243359231e-05,6.074291551407425e-05,5.877647240117455e-05
ba1,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,0.00014396657795799362,0.00011965101874505118,6.34560448295322e-05,0.00010096851755977516,0.00010026939096269116,0.00011264085382070159,8.384798126390605e-05,7.20748401194231e-05,9.346227072740375e-05,6.45176446388863e-05
ba1,wuhan,wuhan,ba1,ba4,wuhan,ba4,ba4,wuhan,wuhan,ba4,wuhan,ba4,0.00012196036897787777,7.534400831037813e-05,5.915743162724397e-05,9.764270501451081e-05,3.7549655437969174e-05,4.405740909677819e-05,7.294285843732718e-05,5.916467030670492e-05,9.082988994995982e-05,6.971546283996e-05
wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,7.718680597368715e-05,0.00010321487687326251,7.212252632038059e-05,5.8835523137741705e-05,7.006971992853134e-05,5.898115468477582e-05,8.330547096550789e-05,8.927056934217358e-05,7.615601209547944e-05,6.0717875766538344e-05
ba4,wuhan,wuhan,ba4,ba1,ba4,ba4,wuhan,ba1,ba4,ba4,wuhan,ba4,7.088340464567028e-05,4.216841815927389e-05,4.933284882564872e-05,3.7164008227474344e-05,2.435006839817928e-05,2.3974948691352098e-05,3.823560154796141e-05,4.1016443722475214e-05,7.377912433285285e-05,4.7660494759028324e-05
ba1,ba4,ba1,wuhan,wuhan,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,9.92555093601417e-05,0.0001036504572305012,6.295543811146582e-05,0.00011341604023913761,0.00010141357938540315,8.596458003483371e-05,7.631518274111311e-05,9.943245477033643e-05,0.00010676422912083616,6.472373459415113e-05
ba1,ba4,ba4,ba1,ba1,wuhan,ba1,wuhan,ba4,ba4,ba1,ba4,ba1,8.391661404000514e-05,8.140675276963435e-05,5.6271775419827934e-05,9.910828116890725e-05,8.179421786146504e-05,8.703836361607752e-05,5.949361030659072e-05,7.110505409341602e-05,9.887077050009364e-05,5.295764938154996e-05
ba1,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,0.00017462425212091772,0.00014159803434587572,7.334152541770198e-05,0.0001223818541095833,0.00013553106737392722,0.00011993590613922942,0.0001152435092165093,0.00010442883913839024,0.00011022039371809655,8.89356396753269e-05
ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba4,ba4,wuhan,3.604490222609194e-05,2.6077000347314277e-05,4.7966744070836156e-05,1.9862446809399796e-05,3.125165227517788e-05,2.2752852926970203e-05,3.106960295172426e-05,2.7248586097955268e-05,4.0437973884208716e-05,2.3114853855982954e-05
ba4,ba4,ba1,ba1,ba1,ba1,ba4,ba4,ba1,wuhan,wuhan,ba1,ba1,6.641027342856257e-05,7.052948574839453e-05,5.8522141773855005e-05,3.9987099041454375e-05,6.072951281152676e-05,5.3592463183803586e-05,4.839622882156445e-05,5.785238715588571e-05,7.202647493214258e-05,4.951950396146427e-05
