replicate	solute	sequencing_data_subdir	cytometry_data_subdir	collection_date	construct
a	BA4	CT12610/	Omi32_ba4_a_gate_events/	2/12/25	Omi32
b	BA4	CT12610/	Omi32_ba4_b_gate_events/	2/12/25	Omi32
					
