replicate	solute	sequencing_data_subdir	cytometry_data_subdir	collection_date	construct
e	WH	CT13874/	Omi32_wuhan_hu_e_gate_events/	5/1/25	Omi32
f	WH	CT13874/	Omi32_wuhan_hu_f_gate_events/	5/8/25	Omi32
